KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
5695396,283.01, Kepler-131 b  ,16.09195471,0.00000928,779.461237,0.000943,0.0185,0.000654,0.000241,0.5464,0.0025,0.5206,5.93526,0.34284,2.22844,0.4271,0.251, t0-5,82,82,416,5.6,2.878535,0.034623,2.81732,0.027784,84.9,98.4,-0.17,2305.9,2329,43.2594,1.0926,6.3371,89.8514,0.1486,0.6793,2.04,0.084,0.077,61.47,3.24,2.99,11.525,1.51463,0.03908,0.07776,5785,64,1,0.02,0.02,1.08,0.02,0.03,4.413,0.064,0.064,0.178,0.042,2, PPPP,2.042,0.091,0.055,60.34,4.85,4.45,1.41406,0.10512,0.12622,5699,5699,1.01,0.02,0.02,1.03,0.05,0.06,4.443,0.026,0.035,0.148,0.127
5695396,283.02, Kepler-131 c  ,25.51746034,0.00035057,776.381046,0.011731,0.007583,0.000523,0.000523,0.322,0.3222,0.2936,1.79405,0.62995,1.06607,0.4271,0.251, t0-5,52,52,67.4,5.9,4.691075,0.335432,4.539498,0.334434,13.5,10.6,-3.18,1802,1880,40.1954,4.8767,8.9406,89.82,0.18,0.9718,0.824,0.068,0.057,33.31,1.7,1.7,11.525,1.51463,0.03908,0.07776,5785,64,1,0.02,0.02,1.08,0.02,0.03,4.413,0.064,0.064,0.178,0.042,2, PPPP,0.824,0.071,0.049,32.46,2.84,2.19,1.41406,0.10512,0.12622,5699,5699,1.01,0.02,0.02,1.03,0.05,0.06,4.443,0.026,0.035,0.148,0.127
5695396,283.03,               ,9.48820239,0.00004317,783.788543,0.006116,0.006431,0.000921,0.000537,0.7055,0.0025,0.6177,20.67444,50.42022,20.16809,0.4271,0.251, t0--,144,144,46.9,9.3,1.16858,0.277718,1.155156,0.277662,8.2,9,-5.15,2004.8,2121,50.9173,20.3183,14.0665,89.8747,0.1253,0.6683,0.723,0.081,0.081,124.4,6.63,5.96,11.525,1.51463,0.03908,0.07776,5785,64,1,0.02,0.02,1.08,0.02,0.03,4.413,0.064,0.064,0.178,0.042,2, PPNP,0.717,0.091,0.073,122.31,9.13,9.96,1.41406,0.10512,0.12622,5699,5699,1.01,0.02,0.02,1.03,0.05,0.06,4.443,0.026,0.035,0.148,0.127
