KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
4157325,1860.01, Kepler-416 b  ,6.3194466,0.0000118,899.393344,0.001892,0.021895,0.001096,0.000429,0.7755,0.0705,0.5662,1.61745,0.16106,0.7516,0.4223,0.2523, t0-5,182,182,579.1,11.2,3.25853,0.059231,3.156527,0.042324,61,45.6,-1.72,5233.9,5446,15.0438,0.5926,2.7937,89.6773,0.3225,2.58,2.397,0.149,0.099,207.94,12.58,9.68,14.028,1.5256,0.08729,0.09076,5715,66,0.99,0.03,0.03,1.02,0.03,0.04,4.419,0.068,0.068,0.116,0.042,2, PPPP,2.393,0.133,0.088,234.53,18.13,16.62,1.48406,0.09262,0.11022,5908,5908,0.99,0.02,0.02,1.04,0.03,0.05,4.46,0.018,0.027,-0.007,0.117
4157325,1860.02, Kepler-416 c  ,12.20950873,0.00003767,903.796296,0.002362,0.021092,0.001276,0.000511,0.7787,0.1032,0.5466,1.57755,0.1487,0.89222,0.4223,0.2523, t0-5,94,94,539,13.6,4.069962,0.095211,3.93933,0.068367,45.5,32,-1,3300.1,3400,23.153,0.9303,5.4267,89.6637,0.3361,1.7928,2.301,0.177,0.099,86.74,5.04,4.62,14.028,1.5256,0.08729,0.09076,5715,66,0.99,0.03,0.03,1.02,0.03,0.04,4.419,0.068,0.068,0.116,0.042,2, PPPP,2.306,0.152,0.101,97.5,7.89,7.23,1.48406,0.09262,0.11022,5908,5908,0.99,0.02,0.02,1.04,0.03,0.05,4.46,0.018,0.027,-0.007,0.117
4157325,1860.03,               ,3.07644041,0.00001022,902.054681,0.002411,0.013465,0.000695,0.000435,0.7081,0.0351,0.5747,1.45779,0.20126,0.72452,0.4223,0.2523, t0-4,358,358,217.1,8.9,2.606456,0.080381,2.558991,0.073291,29.3,22.4,-2.63,8404.5,8575,8.9973,0.484,1.7979,89.1499,0.85,4.0802,1.468,0.101,0.065,544.94,30.54,28,14.028,1.5256,0.08729,0.09076,5715,66,0.99,0.03,0.03,1.02,0.03,0.04,4.419,0.068,0.068,0.116,0.042,2, PPPP,1.462,0.093,0.06,615.28,44.21,48.23,1.48406,0.09262,0.11022,5908,5908,0.99,0.02,0.02,1.04,0.03,0.05,4.46,0.018,0.027,-0.007,0.117
4157325,1860.04,               ,24.84327724,0.00028076,901.017992,0.016805,0.013707,0.001061,0.00092,0.6411,0.0624,0.6026,1.8313,0.47171,1.47409,0.4223,0.2523, t0--,47,47,215.8,19.2,4.581141,0.431327,4.518678,0.381364,14.2,8.8,-1.94,1869.9,1931,39.5298,5.4624,10.9248,89.7826,0.2174,1.1305,1.482,0.141,0.1,33.56,2.02,1.71,14.028,1.5256,0.08729,0.09076,5715,66,0.99,0.03,0.03,1.02,0.03,0.04,4.419,0.068,0.068,0.116,0.042,2, PPFP,1.478,0.135,0.096,37.94,2.74,2.99,1.48406,0.09262,0.11022,5908,5908,0.99,0.02,0.02,1.04,0.03,0.05,4.46,0.018,0.027,-0.007,0.117
