KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
10858691,1306.01, Kepler-286 b  ,1.79631631,0.00000549,793.84569,0.002941,0.013397,0.000732,0.000523,0.654,0.0463,0.5606,1.97335,0.49048,0.98097,0.3836,0.2754, t0-6,751,751,210.3,11.9,1.920964,0.097828,1.860849,0.092046,22.1,17.9,-15.26,12547,13430,6.9994,0.6176,1.2914,89.2639,0.736,5.3362,1.241,0.179,0.11,844.39,51.28,43.39,15.587,2.04341,0.34485,0.34299,5559,64,0.86,0.09,0.07,0.83,0.03,0.03,4.464,0.07,0.07,-0.241,0.043,2, PPPP,1.279,0.144,0.082,1035.04,86.74,94.62,1.82972,0.30715,0.32904,5846,5846,0.88,0.06,0.05,0.9,0.05,0.05,4.502,0.043,0.059,-0.321,0.132
10858691,1306.02, Kepler-286 c  ,3.46807214,0.00001242,793.83403,0.00369,0.01442,0.001054,0.000703,0.1428,0.5765,0.1039,2.09102,0.42942,1.4444,0.3836,0.2754, t0-7,391,391,247.7,14.9,2.363598,0.138252,2.186858,0.116907,20.6,14.9,-8.66,7607.9,8047,11.0972,1.0282,2.9817,89.166,0.834,4.3366,1.352,0.22,0.142,352.71,20.21,18.53,15.587,2.04341,0.34485,0.34299,5559,64,0.86,0.09,0.07,0.83,0.03,0.03,4.464,0.07,0.07,-0.241,0.043,2, PPPP,1.391,0.167,0.125,429.9,39.08,36.08,1.82972,0.30715,0.32904,5846,5846,0.88,0.06,0.05,0.9,0.05,0.05,4.502,0.043,0.059,-0.321,0.132
10858691,1306.03, Kepler-286 d  ,5.91427708,0.0000355,793.947833,0.004719,0.014545,0.001045,0.000588,0.0713,0.5579,0.0434,2.42228,0.47289,1.41867,0.3836,0.2754, t0-6,216,216,248.7,17.1,2.694425,0.148171,2.667907,0.143639,17.4,12,-6.09,5375.8,5618,16.519,1.5202,3.3168,89.5859,0.4136,2.3159,1.368,0.185,0.142,174.42,8.94,10.56,15.587,2.04341,0.34485,0.34299,5559,64,0.86,0.09,0.07,0.83,0.03,0.03,4.464,0.07,0.07,-0.241,0.043,2, PPPP,1.411,0.145,0.112,210.37,20.66,17.49,1.82972,0.30715,0.32904,5846,5846,0.88,0.06,0.05,0.9,0.05,0.05,4.502,0.043,0.059,-0.321,0.132
10858691,1306.04, Kepler-286 e  ,29.22129979,0.00031356,773.643061,0.007173,0.018278,0.00123,0.000878,0.7795,0.0011,0.6251,3.93462,0.78382,2.20895,0.3836,0.2754, t0-6,44,44,388.9,31.2,3.947742,0.187618,3.817766,0.175861,14.6,9,-1.52,1525,1575,56.2977,4.8002,11.7338,89.8596,0.1402,0.6658,1.697,0.253,0.156,20.58,1.16,1.16,15.587,2.04341,0.34485,0.34299,5559,64,0.86,0.09,0.07,0.83,0.03,0.03,4.464,0.07,0.07,-0.241,0.043,2, PPPP,1.764,0.182,0.152,25.01,2.35,2.15,1.82972,0.30715,0.32904,5846,5846,0.88,0.06,0.05,0.9,0.05,0.05,4.502,0.043,0.059,-0.321,0.132
