KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
8150320,904.01, Kepler-55 d   ,2.21112226,0.00000342,793.018625,0.001033,0.023991,0.001864,0.000533,0.6903,0.0512,0.5178,4.49377,0.45917,2.24484,0.6419,0.099, t1-5,601,601,727.8,20.1,1.621951,0.036052,1.573861,0.030691,42.6,32.7,-7.34,9782,10398,10.5577,0.4044,2.0798,89.4814,0.432,3.7152,1.778,0.129,0.081,184.88,14.31,14.31,15.791,3.1746,0.22249,0.21452,4454,77,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109,1, PPPP,1.768,0.139,0.069,182.56,16.4,12.62,3.1746,0.22249,0.21452,4454,4454,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109
8150320,904.02, Kepler-55 b   ,27.95473903,0.00050357,782.639376,0.004477,0.027379,0.00355,0.001389,0.0626,0.719,0.034,0.29556,3.51919,0.11929,0.6419,0.099, t118,51,51,951.4,43.4,3.966202,0.209387,3.812493,0.180825,25.4,15.3,-4.39,1755,2002.3,54.2662,4.4157,18.1043,89.8308,0.1691,1.1275,2.007,0.268,0.134,6.3,0.47,0.51,15.791,3.1746,0.22249,0.21452,4454,77,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109,1, PPPP,2.005,0.271,0.136,6.24,0.52,0.48,3.1746,0.22249,0.21452,4454,4454,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109
8150320,904.03, Kepler-55 c   ,42.14014148,0.00108235,788.449503,0.005329,0.02671,0.002138,0.001132,0.1763,0.4601,0.1486,2.80525,0.45235,1.49274,0.6419,0.099, t118,31,31,902.2,47,5.083215,0.19259,4.868484,0.176536,21.6,13,-0.59,1353,1472.7,63.9242,4.4034,12.7208,89.9046,0.0953,0.6101,1.961,0.171,0.11,3.59,0.32,0.27,15.791,3.1746,0.22249,0.21452,4454,77,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109,1, PPPP,1.959,0.171,0.11,3.6,0.31,0.27,3.1746,0.22249,0.21452,4454,4454,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109
8150320,904.04, Kepler-55 e   ,4.61748122,0.0000153,792.995289,0.001841,0.021412,0.00176,0.000677,0.6495,0.1768,0.3918,3.56387,0.36797,1.97784,0.6419,0.099, t1-6,292,292,579.8,23.1,2.234065,0.055175,2.175578,0.0489,28.1,18.4,-5.07,6140,6400.3,15.8877,0.7159,3.477,89.4679,0.4655,2.5268,1.585,0.127,0.082,68.95,5.88,4.98,15.791,3.1746,0.22249,0.21452,4454,77,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109,1, PPPP,1.581,0.133,0.077,68.93,6,5.08,3.1746,0.22249,0.21452,4454,4454,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109
8150320,904.05, Kepler-55 f   ,10.19848207,0.0000446,784.815621,0.002901,0.022563,0.001811,0.001006,0.7139,0.1019,0.5192,6.32194,0.87188,3.4875,0.6419,0.099, t1-7,131,131,632.3,33.4,2.394504,0.081222,2.323751,0.072041,21.4,15,-3.49,2958,3094.8,32.7496,1.7599,7.2911,89.8381,0.1618,1.2946,1.652,0.15,0.084,23.98,2.05,1.73,15.791,3.1746,0.22249,0.21452,4454,77,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109,1, PPPP,1.654,0.147,0.088,23.91,2.11,1.78,3.1746,0.22249,0.21452,4454,4454,0.67,0.02,0.02,0.68,0.03,0.02,4.619,0.021,0.022,-0.021,0.109
