KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
12068975,623.01, Kepler-197 c  ,10.34974362,0.00002885,790.144241,0.002565,0.010082,0.000922,0.000329,0.9055,0.0434,0.6659,0.05335,0.97489,0.01283,0.3306,0.2962, t0-5,121,121,119.8,3.1,4.293158,0.119902,4.20074,0.075918,44.5,33.1,-0.65,4835.7,4897,18.2882,1.0814,6.6237,89.3695,0.6305,4.0531,1.288,0.129,0.074,193.86,9.67,9.67,11.811,0.77308,0.03595,0.0332,5940,65,1.16,0.03,0.03,0.86,0.02,0.02,4.327,0.087,0.087,-0.392,0.044,2, PPPP,1.259,0.12,0.069,194.13,18.68,18.68,0.92184,0.10631,0.0933,6148,6148,1.14,0.02,0.02,0.97,0.07,0.06,4.311,0.041,0.039,-0.377,0.151
12068975,623.02, Kepler-197 d  ,15.67754049,0.00005981,786.605532,0.003014,0.009912,0.000723,0.000296,0.9114,0.0375,0.6813,0.89342,0.1077,0.58157,0.3306,0.2962, t0-6,79,78,115.5,3.3,5.272625,0.120997,5.191175,0.096879,39.6,26.4,-0.51,3286.5,3328,22.5561,1.3578,6.4496,89.6304,0.3692,2.5104,1.27,0.099,0.062,111.26,5.75,5.27,11.811,0.77308,0.03595,0.0332,5940,65,1.16,0.03,0.03,0.86,0.02,0.02,4.327,0.087,0.087,-0.392,0.044,2, PPPP,1.237,0.095,0.06,111.4,12.14,10.12,0.92184,0.10631,0.0933,6148,6148,1.14,0.02,0.02,0.97,0.07,0.06,4.311,0.041,0.039,-0.377,0.151
12068975,623.03, Kepler-197 b  ,5.59932438,0.00001434,793.190177,0.002171,0.008498,0.000399,0.000199,0.9139,0.0092,0.7179,0.89223,0.09525,0.43391,0.3306,0.2962, t0-5,237,237,85.1,2.3,3.759121,0.074241,3.664933,0.059735,41.4,32.7,-1.82,7915.9,8077,11.3751,0.5444,2.2552,89.4061,0.5931,3.5586,1.082,0.063,0.043,438.99,22.97,21.06,11.811,0.77308,0.03595,0.0332,5940,65,1.16,0.03,0.03,0.86,0.02,0.02,4.327,0.087,0.087,-0.392,0.044,2, PPPP,1.058,0.059,0.041,441.03,46.19,42.34,0.92184,0.10631,0.0933,6148,6148,1.14,0.02,0.02,0.97,0.07,0.06,4.311,0.041,0.039,-0.377,0.151
12068975,623.04, Kepler-197 e  ,25.2104678,0.00017287,793.290302,0.00784,0.007277,0.000587,0.000367,0.7706,0.0148,0.7215,0.02232,0.67453,0.01054,0.3306,0.2962, t0-5,52,52,61.4,3.7,6.57059,0.253549,6.465722,0.212866,18.8,9.9,-0.77,2921.1,2951,28.9857,2.0613,9.0182,89.6157,0.3842,1.9978,0.927,0.08,0.057,59.12,2.94,2.94,11.811,0.77308,0.03595,0.0332,5940,65,1.16,0.03,0.03,0.86,0.02,0.02,4.327,0.087,0.087,-0.392,0.044,2, PPPP,0.906,0.079,0.051,59.57,5.55,6.05,0.92184,0.10631,0.0933,6148,6148,1.14,0.02,0.02,0.97,0.07,0.06,4.311,0.041,0.039,-0.377,0.151
