KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
8804283,1276.01,               ,22.7902174,0.00006839,778.181461,0.002799,0.022464,0.001442,0.000525,0.2759,0.3712,0.2481,1.53616,0.14025,0.80642,0.4696,0.224, t0-2,58,58,617.2,15,5.061955,0.10966,4.911427,0.072595,47.6,40.1,-0.6,2501.4,2559,34.8385,1.3934,7.4313,89.7338,0.2662,1.1028,2.391,0.174,0.127,31.83,1.63,1.95,14.766,1.51728,0.11905,0.11467,5489,63,0.96,0.03,0.03,0.94,0.04,0.03,4.396,0.083,0.083,0.131,0.042,2, PPPP,2.398,0.181,0.102,32.83,2.96,2.96,1.46473,0.16153,0.16763,5535,5535,0.97,0.03,0.03,0.96,0.06,0.06,4.444,0.037,0.043,0.134,0.133
8804283,1276.02,               ,13.26071518,0.00008433,788.184626,0.006024,0.012804,0.001042,0.000613,0.2197,0.4818,0.1723,1.74537,0.29845,1.10425,0.4696,0.224, t0-2,99,99,199.1,13.7,3.905269,0.188186,3.809591,0.174619,17.6,14.7,-2.17,3294.7,3376,25.4051,1.9628,6.3246,89.696,0.304,1.7022,1.35,0.125,0.08,65.12,3.6,3.6,14.766,1.51728,0.11905,0.11467,5489,63,0.96,0.03,0.03,0.94,0.04,0.03,4.396,0.083,0.083,0.131,0.042,2, PPPP,1.376,0.111,0.086,67.77,5.75,6.27,1.46473,0.16153,0.16763,5535,5535,0.97,0.03,0.03,0.96,0.06,0.06,4.444,0.037,0.043,0.134,0.133
8804283,1276.03,               ,7.70974541,0.00010206,791.207258,0.022443,0.007884,0.000644,0.000936,0.0292,0.6297,0.0003,1.19779,1.37728,0.98377,0.4696,0.224, t0--,182,181,65.4,11.3,2.879391,0.635606,2.847494,0.629136,8.1,0,-9.11,5035.9,5275,15.6637,5.7592,3.5995,89.5483,0.4517,2.2583,0.809,0.092,0.085,134.03,7.48,7.48,14.766,1.51728,0.11905,0.11467,5489,63,0.96,0.03,0.03,0.94,0.04,0.03,4.396,0.083,0.083,0.131,0.042,2, PNNN,0.815,0.098,0.083,138.34,13.56,11.48,1.46473,0.16153,0.16763,5535,5535,0.97,0.03,0.03,0.96,0.06,0.06,4.444,0.037,0.043,0.134,0.133
