KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
9489524,2029.01, Kepler-352 c  ,16.33270729,0.0000397,788.547233,0.004369,0.015754,0.001375,0.000773,0.8928,0.055,0.6534,14.08647,4.23418,9.07324,0.5018,0.1996, t0-6,81,81,310.1,20.1,2.087803,0.133633,1.97014,0.135952,17.5,24.7,-0.96,1556.6,1586,58.8526,6.8539,14.279,89.8564,0.1436,0.7179,1.255,0.115,0.08,25.73,1.42,1.42,12.957,2.83358,0.05335,0.0955,5218,64,0.73,0.02,0.02,0.8,0.01,0.02,4.569,0.03,0.03,-0.108,0.043,2, PPPP,1.277,0.109,0.084,24.71,2.09,1.76,2.68969,0.17302,0.20321,5105,5105,0.74,0.01,0.01,0.77,0.03,0.04,4.588,0.021,0.03,-0.218,0.105
9489524,2029.02, Kepler-352 b  ,10.05538883,0.0000474,779.944787,0.006691,0.011109,0.000742,0.000742,0.0606,0.5748,0.0317,2.82418,0.78735,1.78942,0.5018,0.1996, t0-6,139,139,145.4,13.2,2.956316,0.227698,2.831701,0.217258,13.6,17.2,-2.62,3097.2,3176,24.9834,2.8353,5.4129,89.7311,0.2687,1.5452,0.875,0.077,0.055,48.73,3.15,2.25,12.957,2.83358,0.05335,0.0955,5218,64,0.73,0.02,0.02,0.8,0.01,0.02,4.569,0.03,0.03,-0.108,0.043,2, PPPP,0.892,0.071,0.06,47.42,3.54,3.54,2.68969,0.17302,0.20321,5105,5105,0.74,0.01,0.01,0.77,0.03,0.04,4.588,0.021,0.03,-0.218,0.105
9489524,2029.03, Kepler-352 d  ,6.88724533,0.00003419,788.240707,0.011764,0.008558,0.000769,0.000909,0.4891,0.16,0.4601,3.90575,2.60172,3.71674,0.5018,0.1996, t0-4,188,188,81.3,13,2.137809,0.302244,1.927668,0.313195,8.1,11.2,-2.69,4032,4082,22.5565,4.9199,6.0553,89.6498,0.3502,1.6808,0.667,0.075,0.062,81.08,4.77,4.04,12.957,2.83358,0.05335,0.0955,5218,64,0.73,0.02,0.02,0.8,0.01,0.02,4.569,0.03,0.03,-0.108,0.043,2, PPPP,0.678,0.074,0.068,78.25,6.12,5.61,2.68969,0.17302,0.20321,5105,5105,0.74,0.01,0.01,0.77,0.03,0.04,4.588,0.021,0.03,-0.218,0.105
9489524,2029.04,               ,4.78847692,0.00002559,786.734846,0.012868,0.007432,0.000998,0.000784,0.3434,0.3655,0.3034,2.39454,4.74977,2.37488,0.5018,0.1996, t0-4,260,259,64.8,11.9,1.996156,0.332879,2.142632,0.331195,7.2,9.9,-3.2,5133,5189,15.8397,4.487,4.9856,89.3911,0.6087,2.8408,0.599,0.071,0.078,132.04,6.87,7.44,12.957,2.83358,0.05335,0.0955,5218,64,0.73,0.02,0.02,0.8,0.01,0.02,4.569,0.03,0.03,-0.108,0.043,2, PPPP,0.602,0.079,0.067,127.53,9.69,9.69,2.68969,0.17302,0.20321,5105,5105,0.74,0.01,0.01,0.77,0.03,0.04,4.588,0.021,0.03,-0.218,0.105
