KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
314.03,10.31305565,314.01,13.78108283,1.336275425799724,4:3,0.002206569349793,1561.3697832896903
351.02,210.7307044,351.01,331.5973066,1.573559522539137,3:2,0.0490396816927578,2253.938682266298
351.03,59.73725869,351.04,91.9400901,1.5390744757323582,3:2,0.0260496504882388,1176.4724718220964
351.04,91.9400901,351.07,124.9218471,1.3587309623487087,4:3,0.0190482217615315,1639.5473638421654
351.05,8.71984892,351.08,14.44913641,1.6570397655467637,5:3,-0.0057761406719418,-500.3041729986938
351.06,7.00823625,351.05,8.71984892,1.2442287344408516,5:4,-0.0046170124473187,-377.7268967539375
351.07,124.9218471,351.02,210.7307044,1.6869003244189145,5:3,0.0121401946513486,3471.619861986155
435.01,20.5498169,435.03,33.04053863,1.6078264244777771,5:3,-0.0353041453133338,-187.1765388271338
435.06,9.91939956,435.01,20.5498169,2.07167951806954,2:1,0.0358397590347698,286.6902213274318
490.01,4.39316065,490.03,7.40609383,1.685823583528638,5:3,0.0114941501171828,128.86718468951443
490.03,7.40609383,490.04,21.80364252,2.94401381085392,3:1,-0.0186620630486933,-389.4468055882427
500.01,7.05352865,500.02,9.52164568,1.3499123846331866,4:3,0.01243428847489,191.43929504346264
500.02,9.52164568,500.06,14.64538173,1.538114546812248,3:2,0.0254096978748319,192.1232567993408
500.03,3.07215234,500.04,4.64539336,1.512097333037853,3:2,0.0080648886919019,192.0007222031683
500.04,4.64539336,500.01,7.05352865,1.5183921152373627,3:2,0.0122614101582416,191.75414461494807
500.05,0.98678597,500.03,3.07215234,3.1132914668415888,3:1,0.0377638222805294,27.11724391648745
505.02,6.19544791,505.04,8.34818212,1.347470310665561,4:3,0.0106027329991706,196.8403363701832
505.03,3.25056897,505.02,6.19544791,1.905957992947924,2:1,-0.047021003526038,-65.87957981978475
505.04,8.34818212,505.01,13.76710208,1.649113768974652,5:3,-0.0105317386152088,-261.44025375105656
520.01,12.75933213,520.03,25.75279012,2.018349382053432,2:1,0.009174691026716,1403.4690675146226
520.03,25.75279012,520.04,51.16575644,1.9868043890228388,2:1,-0.0065978054885805,-3877.4829394832295
547.02,7.34671695,547.03,12.38603302,1.685927619683238,5:3,0.0115565718099428,214.3547969709064
547.03,12.38603302,547.01,25.30293703,2.042860453314051,2:1,0.0214302266570254,590.3562625574234
623.01,10.34974362,623.02,15.67754049,1.5147757341258663,3:2,0.0098504894172442,530.5164655932392
623.02,15.67754049,623.04,25.2104678,1.6080626815207797,5:3,-0.0351623910875322,-143.39450202485813
665.02,1.61188863,665.03,3.07156191,1.9055670800283515,2:1,-0.0472164599858242,-32.526389218105
665.03,3.07156191,665.01,5.86806838,1.9104509535996952,2:1,-0.0447745232001524,-65.52909959273477
671.02,7.46662904,671.04,11.13189834,1.4908867549686116,3:2,-0.0060754966875923,-610.7538150054515
671.04,11.13189834,671.03,16.25955008,1.4606268925017871,3:2,-0.0262487383321419,-206.480401384854
707.01,21.77566845,707.03,31.78484972,1.4596497826453634,3:2,-0.0269001449030911,-393.8621871679655
707.03,31.78484972,707.02,41.02789654,1.2908003939431556,4:3,-0.0318997045426332,-321.5382174242957
707.04,13.1755712,707.01,21.77566845,1.6527305055282917,5:3,-0.008361696683025,-520.8432995233271
710.01,5.37492471,710.02,8.58604236,1.597425605613739,5:3,-0.0415446366317566,-41.334059248633984
710.03,3.8868617,710.01,5.37492471,1.3828443420047594,7:5,-0.0122540414251718,-62.66066520434419
719.01,9.03418745,719.02,28.12264106,3.112913166308056,3:1,0.0376377221026853,249.0643206592421
719.02,28.12264106,719.03,45.90267989,1.6322321858770683,5:3,-0.020660688473759,-444.3480182018199
730.01,14.78701236,730.03,19.72433675,1.3338960075096602,4:3,0.0004220056322452,11684.877666832124
730.02,9.84821114,730.01,14.78701236,1.5014922151638597,3:2,0.0009948101092396,4954.718568116904
730.04,7.38445597,730.02,9.84821114,1.3336407150383482,4:3,0.0002305362787611,10679.676093631528
733.01,5.92498617,733.02,11.34934777,1.9155062044642712,2:1,-0.0422468977678643,-134.32167057995224
733.02,11.34934777,733.04,18.6435031,1.642693789794759,5:3,-0.0143837261231445,-259.2305073161975
749.01,5.34956967,749.03,8.10901972,1.5158265468482064,3:2,0.0105510312321375,256.1841126107381
749.02,3.94106174,749.01,5.34956967,1.3573930130817995,4:3,0.0180447598113495,74.11527953166902
750.02,5.04416027,750.03,14.51677802,2.877937504551179,3:1,-0.0406874984829404,-118.9290614338345
750.03,14.51677802,750.01,21.67695486,1.4932345752022458,3:2,-0.0045102831985028,-1602.0394511809009
829.01,18.64929387,829.03,38.55762762,2.0675113968805725,2:1,0.0337556984402862,571.1276821631812
829.02,9.75192499,829.01,18.64929387,1.91237052060221,2:1,-0.043814739698895,-212.8198637965469
877.01,5.95489264,877.02,12.03986967,2.021844959743892,2:1,0.010922479871946,551.1509204481994
877.02,12.03986967,877.03,20.83773609,1.7307277122709916,5:3,0.0384366273625949,108.42645424337368
886.01,8.01084154,886.02,12.07138695,1.5068812545754091,3:2,0.0045875030502726,877.121084368726
886.02,12.07138695,886.03,20.99581773,1.7393045071759543,5:3,0.0435827043055725,96.3493113359441
904.01,2.21112226,904.04,4.61748122,2.0882975598101936,2:1,0.0441487799050968,52.294550720607006
904.02,27.95473903,904.03,42.14014148,1.5074417770374011,3:2,0.0049611846916006,2831.322496509325
935.01,20.86019269,935.02,42.63416415,2.043804905524101,2:1,0.0219024527620506,973.2737381785452
935.02,42.63416415,935.03,87.64796817,2.055815328327482,2:1,0.027907664163741,1570.3207487331824
939.01,3.38802126,939.02,5.83910412,1.7234555724127891,5:3,0.0340733434476734,34.2737373511181
939.03,1.62047082,939.01,3.38802126,2.0907635103235,2:1,0.0453817551617499,37.3280104297905
952.01,5.90127763,952.02,8.75207596,1.4830815475461712,3:2,-0.0112789683025525,-258.6547435081534
952.04,2.89600175,952.01,5.90127763,2.037732756894916,2:1,0.018866378447458,156.3966726956835
