KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
5177859,4246.01, Kepler-1576 b ,6.98474826,0.00004808,788.425083,0.007624,0.008744,0.000831,0.000499,0.2125,0.4397,0.1826,2.63742,0.99552,1.74216,0.3942,0.2701, t0--,198,198,89.9,9.2,2.766075,0.222121,2.598184,0.218336,10.2,11,-6.62,4426.1,4597,19.2171,2.692,4.4867,89.6909,0.3086,2.1602,0.881,0.078,0.065,153.9,8.21,6.95,13.382,1.7924,0.04566,0.02924,5710,64,0.92,0.02,0.02,1.02,0.01,0.01,4.469,0.032,0.032,0.255,0.042,2, PPFP,0.899,0.078,0.059,171.67,11.87,11.87,1.72536,0.07729,0.08461,5794,5794,0.94,0.02,0.02,1.01,0.02,0.03,4.5,0.012,0.017,0.01,0.105
5177859,4246.02,               ,8.75630846,0.00008552,783.488707,0.009324,0.008357,0.000745,0.000745,0.0314,0.6285,0.0018,2.26369,1.18908,1.63498,0.3942,0.2701, t0--,159,158,79.9,10.6,2.927514,0.2735,2.797712,0.270024,9.8,9,-7.56,3978.5,4171,22.3084,3.0842,5.8257,89.6738,0.3262,1.9572,0.834,0.083,0.07,114.38,5.48,5.48,13.382,1.7924,0.04566,0.02924,5710,64,0.92,0.02,0.02,1.02,0.01,0.01,4.469,0.032,0.032,0.255,0.042,2, PPPN,0.847,0.085,0.065,127.31,8.13,8.87,1.72536,0.07729,0.08461,5794,5794,0.94,0.02,0.02,1.01,0.02,0.03,4.5,0.012,0.017,0.01,0.105
5177859,4246.03,               ,5.558328,0.00006571,784.125065,0.020657,0.006733,0.000769,0.000641,0.7256,0.0539,0.6057,0.30854,0.68844,0.22948,0.3971,0.2679, t0--,242,241,51.2,8.6,3.641,0.695478,3.728593,0.658661,9,0,-14.33,5762.2,6214,10.0886,2.1734,3.2601,88.853,1.1469,4.5878,0.674,0.072,0.072,208.99,10.37,9.51,13.382,1.7924,0.04566,0.02924,5710,64,0.92,0.02,0.02,1.02,0.01,0.01,4.469,0.032,0.032,0.255,0.042,2, PNNN,0.693,0.071,0.071,232.67,16.08,16.08,1.72536,0.07729,0.08461,5794,5794,0.94,0.02,0.02,1.01,0.02,0.03,4.5,0.012,0.017,0.01,0.105
