KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
11968463,2433.01, Kepler-385 c  ,15.16213142,0.00014321,896.231049,0.008835,0.01984,0.00074,0.00054,0.016,0.511,0.016,0.55,0.14,0.21,0.3139,0.3061, t0-6,71,71,473.8,21.1,6.05348,0.577302,5.622092,0.278876,28.5,19,-0.98,4257.6,4309,19.1,1.2,3.1,89.2315,0.7683,7.134,2.361,0.549,0.146,86.2,4.68,4.29,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PPPP,2.409,0.581,0.127,95.16,9.33,7.9,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
11968463,2433.02, Kepler-385 b  ,10.04380879,0.00007549,899.288636,0.004632,0.019203,0.001325,0.000623,0.9525,0.0016,0.6896,0.80755,0.14989,0.5371,0.3139,0.3061, t0-8,113,113,434.8,18.4,4.700392,0.209107,4.489771,0.177606,28.8,24,-2.87,4935.6,5108,16.2989,1.2786,4.4041,89.531,0.4689,3.1649,2.313,0.21,0.162,149.67,7.84,7.84,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PPPP,2.335,0.199,0.153,165.89,14.22,15.52,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
11968463,2433.03, Kepler-385 d  ,56.41581418,0.00134877,885.93982,0.012769,0.020335,0.001255,0.000921,0.9083,0.001,0.6598,1.13084,0.26811,0.65997,0.3139,0.3061, t0-6,20,20,472,33.3,7.322151,0.355144,7.121796,0.307957,16.4,11.7,-1.01,1192.4,1222,58.3966,4.722,13.1168,89.8225,0.1773,0.6797,2.423,0.21,0.161,14.94,0.88,0.74,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PPPP,2.448,0.217,0.15,16.38,1.72,1.32,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
11968463,2433.04,               ,27.90426394,0.00039995,897.165414,0.011703,0.016024,0.001132,0.000958,0.8542,0.0717,0.6276,1.61188,0.37555,0.93888,0.3139,0.3061, t0-6,43,43,300.9,25.7,5.158412,0.305406,5.067122,0.26411,12.8,9.2,-2.02,1909.2,1966,41.1405,3.3743,9.7012,89.8041,0.1959,1.1098,1.903,0.184,0.142,38.33,2.08,2.08,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PPPP,1.929,0.173,0.146,42.33,4.04,3.7,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
11968463,2433.06,               ,6.0632531,0.00006019,899.849252,0.009755,0.01204,0.000965,0.000579,0.9515,0.004,0.7175,1.19126,0.39591,0.65985,0.3139,0.3061, t0--,183,183,169.9,17.1,3.343317,0.273343,3.200734,0.2825,12.4,7.9,-7.62,5560.2,5803,13.3318,1.6048,2.772,89.5913,0.4086,2.7237,1.441,0.129,0.106,293.87,14.06,16.62,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PPNP,1.457,0.128,0.106,324.22,29.32,29.32,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
11968463,2433.07,               ,86.43086179,0.00205386,874.626804,0.016403,0.018726,0.0015,0.0012,0.9501,0.0018,0.6878,2.37459,0.94249,1.78026,0.3139,0.3061, t0--,14,14,408.7,43.2,6.525078,0.578829,6.163591,0.533966,11.2,7.2,-1.06,804.2,826,99.9327,15.7568,23.6352,89.9083,0.0917,0.3853,2.252,0.199,0.199,8.49,0.46,0.46,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PPFN,2.268,0.213,0.18,9.27,1,0.72,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
11968463,2433.08,               ,3.37375965,0.00003201,902.374903,0.007721,0.010077,0.000739,0.000687,0.8695,0.0026,0.6682,0.94573,0.29309,0.58618,0.3139,0.3061, t0--,337,334,117.5,12.2,2.99975,0.231305,2.84586,0.230068,11.1,0,-12.12,8457.7,8857,8.3297,1.0715,1.7859,89.2301,0.7697,4.8107,1.206,0.11,0.101,641.52,34.2,34.2,15.212,1.10639,0.12883,0.11246,5835,64,1.09,0.05,0.05,0.99,0.03,0.03,4.19,0.1,0.1,0.01,0.037,2, PNNN,1.216,0.11,0.101,702.58,72.13,54.1,1.11221,0.14633,0.15039,6036,6036,1.1,0.05,0.04,1.07,0.06,0.07,4.381,0.039,0.049,-0.037,0.149
