KOI_inner,Period_inner,KOI_middle,Period_middle,KOI_outer,Period_outer,Nearest Period Ratio_inner,Nearest Period Ratio_outer,Period Ratios_inner,Period Ratios_outer,delta_inner,delta_outer,Period_ttv_inner,Period_ttv_outer,n1,n2,n3,p,q,3 Body Equation
877.01,5.95489264,877.02,12.03986967,877.03,20.83773609,1:2,3:5,2.021844959743892,1.7307277122709916,0.010922479871946,0.0384366273625949,551.1509204481994,108.42645424337368,1.0551299052772825,0.5218648938398007,0.30152917188517797,2,5,-0.03514858689815026
886.01,8.01084154,886.02,12.07138695,886.03,20.99581773,2:3,3:5,1.5068812545754091,1.7393045071759543,0.0045875030502726,0.0435827043055725,877.121084368726,96.3493113359441,0.7843352381652011,0.5205023526463615,0.29925889946176376,4,5,-0.050885723847629905
935.01,20.86019269,935.02,42.63416415,935.03,87.64796817,1:2,1:2,2.043804905524101,2.055815328327482,0.0219024527620506,0.027907664163741,973.2737381785452,1570.3207487331824,0.3012045670216475,0.14737442219046265,0.07168660538705088,1,2,0.0024545112243613
939.03,1.62047082,939.01,3.38802126,939.02,5.83910412,1:2,3:5,2.0907635103235,1.7234555724127891,0.0453817551617499,0.0340733434476734,37.3280104297905,34.2737373511181,3.8773825666170194,1.854529480484897,1.0760529660121194,2,5,0.15332359990035638
952.04,2.89600175,952.01,5.90127763,952.02,8.75207596,1:2,2:3,2.037732756894916,1.4830815475461712,0.018866378447458,-0.0112789683025525,156.3966726956835,-258.6547435081534,2.169606875126918,1.0647161006691337,0.7179079953025894,1,3,0.06446645835815135
1060.04,8.19342614,1060.01,12.10967032,1060.03,20.4963261,2:3,3:5,1.4779739407036383,1.6925585551366191,-0.0146840395309078,0.0155351330819715,-274.8941641594576,263.8706214082701,0.7668568923206998,0.5188568426014414,0.3065517828182674,4,5,-0.06952510003883661
1060.02,4.75797889,1060.04,8.19342614,1060.01,12.10967032,3:5,2:3,1.7220391955122776,1.4779739407036383,0.0332235173073665,-0.0146840395309078,49.323050682435166,-274.8941641594576,1.320557625924983,0.7668568923206998,0.5188568426014414,3,6,0.17310190249729906
1082.02,4.09667991,1082.01,6.50324324,1082.04,9.65506241,3:5,2:3,1.5874423637847752,1.4846534342455258,-0.0475345817291349,-0.0102310438363162,-27.362156154259484,-314.5675248934775,1.533726199072162,0.9661618173118781,0.6507658925821057,3,6,-0.18968240309778217
1102.02,8.14510034,1102.01,12.33348408,1102.03,18.99831911,2:3,2:3,1.514221257586128,1.5403854244890711,0.0094808383907518,0.0269236163260473,433.62846096082114,235.2125717428236,0.771406740850486,0.5094412305901794,0.3307232219229518,2,3,-0.012223005481070026
1102.04,4.24433553,1102.02,8.14510034,1102.01,12.33348408,1:2,2:3,1.919051941682848,1.514221257586128,-0.040474029158576,0.0094808383907518,-100.62131827903453,433.62846096082114,1.480369603856363,0.771406740850486,0.5094412305901794,1,3,-0.07693366777504274
