,KIC,KOI,Kepler,Period,Rp/R*,Status
1084,10601284,749.02, Kepler-226 b  ,3.94106174,0.017184, PPPP
1085,10601284,749.03, Kepler-226 d  ,8.10901972,0.013476, PPPP
1086,10662202,750.01, Kepler-662 b  ,21.67695486,0.026166, PPPP
1087,10662202,750.02,               ,5.04416027,0.012406, PPPP
1088,10662202,750.03,               ,14.51677802,0.013713, PPPP
1090,10682541,751.01, Kepler-663 b  ,4.9967698,0.027647, PPPP
1091,10797460,752.01, Kepler-227 b  ,9.48803874,0.022513, PPPP
1092,10797460,752.02, Kepler-227 c  ,54.4186222,0.026808, PPPP
1095,10854555,755.01, Kepler-664 b  ,2.52558797,0.022555, PPPP
1096,10872983,756.01, Kepler-228 d  ,11.09433544,0.035767, PPPP
1097,10872983,756.02, Kepler-228 c  ,4.13444128,0.024077, PPPP
1098,10872983,756.03, Kepler-228 b  ,2.56656946,0.013809, PPPP
1099,10910878,757.01, Kepler-229 c  ,16.06864266,0.062227, PPPP
1100,10910878,757.02, Kepler-229 d  ,41.19712515,0.041997, PPPP
1101,10910878,757.03, Kepler-229 b  ,6.25294127,0.028814, PPPP
1102,10987985,758.01, Kepler-665 b  ,16.01316456,0.029946, PPPP
1103,11018648,759.01, Kepler-230 b  ,32.62891703,0.038685, PPPP
1104,11018648,759.02, Kepler-230 c  ,91.77190394,0.023497, PPPP
1105,11138155,760.01,               ,4.95931901,0.104417, PPPP
1107,11153539,762.01, Kepler-666 b  ,4.4987716,0.019777, PPPP
1109,11304958,764.01, Kepler-667 b  ,41.43956619,0.047507, PPPP
1110,11391957,765.01, Kepler-668 b  ,8.35386708,0.029488, PPPP
1111,11403044,766.01, Kepler-669 b  ,4.12554723,0.035309, PPPP
1112,11414511,767.01, Kepler-670 b  ,2.81650479,0.118627, PPPP
1114,11460018,769.01, Kepler-671 b  ,4.2809697,0.024929, PPPP
1118,11507101,773.01, Kepler-672 b  ,38.37744358,0.024446, PPPP
1120,11754553,775.01, Kepler-52 c   ,16.38490222,0.030103, PPPP
1121,11754553,775.02, Kepler-52 b   ,7.87742204,0.032346, PPPP
1122,11754553,775.03, Kepler-52 d   ,36.44519458,0.029958, PPPP
1123,11812062,776.01, Kepler-673 b  ,3.72873178,0.07028, PPPP
1125,11853255,778.01, Kepler-674 b  ,2.24337777,0.026255, PPPP
1127,11918099,780.01, Kepler-675 b  ,2.33743889,0.027875, PPPP
1128,11918099,780.02,               ,7.24066724,0.023645, PPPP
1129,11923270,781.01, Kepler-676 b  ,11.59822915,0.047747, PPPP
1130,11960862,782.01, Kepler-677 b  ,6.57531525,0.048515, PPPP
1131,12020329,783.01, Kepler-678 b  ,7.2750405,0.051015, PPPP
1132,12066335,784.01, Kepler-231 c  ,19.27160315,0.031919, PPPP
1133,12066335,784.02, Kepler-231 b  ,10.06525908,0.029844, PPPP
1134,12070811,785.01, Kepler-679 b  ,12.39354661,0.027659, PPPP
1135,12110942,786.01, Kepler-680 b  ,3.6899163,0.019019, PPPP
1136,12366084,787.01, Kepler-232 b  ,4.43123472,0.028893, PPPP
1137,12366084,787.02, Kepler-232 c  ,11.37935033,0.029175, PPPP
1138,12366084,787.03,               ,0.58936958,0.008188, PPPN
1139,12404086,788.01, Kepler-681 b  ,26.39434736,0.034812, PPPP
1141,12470844,790.01, Kepler-233 b  ,8.47238544,0.030348, PPPP
1142,12470844,790.02, Kepler-233 c  ,60.4192998,0.027566, PPPP
1143,12644822,791.01, Kepler-682 b  ,12.61190064,0.073344, PPPP
1146,2713049,794.01, Kepler-683 b  ,2.53918558,0.017772, PPPP
1147,3114167,795.01, Kepler-684 b  ,6.77028243,0.033282, PPPP
1149,3115833,797.01,               ,10.1815833,0.084436, PPPP
1152,3342970,800.01, Kepler-234 b  ,2.71150261,0.026682, PPPP
1153,3342970,800.02, Kepler-234 c  ,7.21202595,0.028416, PPPP
1154,3351888,801.01, Kepler-685 b  ,1.62552198,0.080508, PPPP
1155,3453214,802.01,               ,19.62034518,0.135953, PPPP
1157,3641726,804.01, Kepler-1727 b ,9.02930635,0.028961, PPPP
1159,3832474,806.01, Kepler-30 d   ,143.2070119,0.091971, PPPP
1160,3832474,806.02, Kepler-30 c   ,60.32524674,0.129205, PPPP
1161,3832474,806.03, Kepler-30 b   ,29.31475445,0.040391, PPNN
1166,3935914,809.01, Kepler-686 b  ,1.59474544,0.115874, PPPP
1167,3940418,810.01, Kepler-1728 b ,4.78300269,0.028482, PPPP
1168,4049131,811.01, Kepler-687 b  ,20.50586859,0.040789, PPPP
1169,4139816,812.01, Kepler-235 b  ,3.34021993,0.036963, PPPP
1170,4139816,812.02, Kepler-235 d  ,20.06028585,0.035539, PPPP
1171,4139816,812.03, Kepler-235 e  ,46.18436051,0.034381, PPPP
1172,4139816,812.04, Kepler-235 c  ,7.82502184,0.021119, PPPP
1173,4275191,813.01, Kepler-688 b  ,3.89593622,0.083943, PPPP
1174,4476123,814.01, Kepler-689 b  ,22.36660906,0.028637, PPPP
1176,4664847,816.01, Kepler-690 b  ,7.74809932,0.045221, PPPP
1177,4725681,817.01, Kepler-236 c  ,23.96790592,0.030993, PPPP
1178,4725681,817.02, Kepler-236 b  ,8.29562934,0.026378, PPPP
1179,4913852,818.01, Kepler-691 b  ,8.11438111,0.035715, PPPP
1182,5021899,821.01, Kepler-692 b  ,21.81290429,0.031246, PPPP
1185,5164255,824.01, Kepler-693 b  ,15.37562174,0.120663, PPPP
1186,5252423,825.01, Kepler-237 c  ,8.10363151,0.026586, PPPP
1187,5252423,825.02, Kepler-237 b  ,4.71513167,0.018267, PPPP
1188,5272878,826.01, Kepler-694 b  ,6.36584793,0.025547, PPPP
1191,5358241,829.01, Kepler-53 b   ,18.64929387,0.027264, PPPP
1192,5358241,829.02, Kepler-53 d   ,9.75192499,0.018631, PPPP
1193,5358241,829.03, Kepler-53 c   ,38.55762762,0.02864, PPPP
1194,5358624,830.01, Kepler-428 b  ,3.52563262,0.133461, PPPP
1198,5436502,834.01, Kepler-238 e  ,23.65369289,0.052268, PPPP
1199,5436502,834.02, Kepler-238 d  ,13.23350423,0.020391, PPPP
1200,5436502,834.03, Kepler-238 c  ,6.15560917,0.015356, PPPP
1201,5436502,834.04, Kepler-238 b  ,2.09082239,0.00978, PPPP
1202,5436502,834.05, Kepler-238 f  ,50.4468756,0.017652, PPPP
1203,5456651,835.01, Kepler-239 b  ,11.76308642,0.028783, PPPP
1204,5456651,835.02, Kepler-239 c  ,56.22767257,0.026445, PPPP
1206,5531576,837.01, Kepler-240 c  ,7.95354221,0.026335, PPPP
1207,5531576,837.02, Kepler-240 b  ,4.14453332,0.017667, PPPP
1210,5651104,840.01, Kepler-695 b  ,3.04033065,0.103784, PPPP
1211,5792202,841.01, Kepler-27 b   ,15.3352934,0.049738, PPPP
1212,5792202,841.02, Kepler-27 c   ,31.33038711,0.072633, PPPP
1213,5792202,841.03, Kepler-27 d   ,6.54626957,0.023203, PPPP
1214,5792202,841.04,               ,269.3087336,0.060986, PPFP
1215,5792202,841.05,               ,499.4680938,0.037017, PPFN
1216,5794379,842.01, Kepler-241 b  ,12.71807129,0.030175, PPPP
1217,5794379,842.02, Kepler-241 c  ,36.06595636,0.035076, PPPP
1218,5881688,843.01, Kepler-696 b  ,4.1904261,0.048992, PPPP
1219,6022556,844.01, Kepler-697 b  ,3.70987051,0.040799, PPPP
1220,6032497,845.01, Kepler-698 b  ,16.32974834,0.031443, PPPP
1221,6061119,846.01, Kepler-699 b  ,27.8075662,0.161472, PPPP
1222,6191521,847.01, Kepler-700 b  ,80.87228111,0.05409, PPPP
1223,6191521,847.02,               ,1106.242541,0.064527, PNNN
1225,6276477,849.01, Kepler-701 b  ,10.35534716,0.024867, PPPP
1226,6291653,850.01, Kepler-702 b  ,10.5262932,0.094746, PPPP
1227,6392727,851.01, Kepler-703 b  ,4.5835222,0.056488, PPPP
1228,6422070,852.01, Kepler-704 b  ,3.76183056,0.020579, PPPP
1229,6428700,853.01, Kepler-242 b  ,8.20397795,0.028581, PPPP
1230,6428700,853.02, Kepler-242 c  ,14.49635856,0.022081, PPPP
1231,6435936,854.01, Kepler-705 b  ,56.05605725,0.036475, PPPP
1232,6522242,855.01, Kepler-706 b  ,41.40831177,0.140233, PPPP
1234,6587280,857.01, Kepler-243 b  ,5.71542364,0.027088, PPPP
1235,6587280,857.02, Kepler-243 c  ,20.02621667,0.019279, PPPP
1239,6685526,861.01, Kepler-707 b  ,2.237492,0.016075, PPPP
1241,6784235,863.01, Kepler-708 b  ,3.16789404,0.025655, PPPP
1242,6849310,864.01, Kepler-244 b  ,4.31178142,0.030731, PPPP
1243,6849310,864.02, Kepler-244 d  ,20.05038278,0.026318, PPPP
1244,6849310,864.03, Kepler-244 c  ,9.76734394,0.022063, PPPP
1245,6862328,865.01,               ,119.0207078,0.077508, PPPP
1247,6863998,867.01, Kepler-709 b  ,16.08520229,0.034053, PPPP
1248,6867155,868.01,               ,235.9982634,0.147586, PPPP
1249,6948054,869.01, Kepler-245 b  ,7.49018556,0.030085, PPPP
1250,6948054,869.02, Kepler-245 d  ,36.27556467,0.035506, PPPP
1251,6948054,869.03, Kepler-245 c  ,17.46091637,0.025787, PPPP
1252,6948054,869.04, Kepler-245 e  ,3.21982901,0.019961, PPPP
1253,6949607,870.01, Kepler-28 b   ,5.91227096,0.027863, PPPP
1254,6949607,870.02, Kepler-28 c   ,8.98580316,0.026742, PPPP
1256,7109675,872.01, Kepler-46 b   ,33.60123257,0.082995, PPPP
1257,7109675,872.02, Kepler-46 d   ,6.76648308,0.019086, PPPP
1258,7118364,873.01, Kepler-710 b  ,4.34729833,0.01945, PPPP
1259,7134976,874.01, Kepler-246 b  ,4.60181386,0.024563, PPPP
1260,7134976,874.02, Kepler-246 c  ,11.18713219,0.016901, PPPP
1261,7135852,875.01, Kepler-1729 b ,4.22096573,0.043076, PPPP
1263,7287995,877.01, Kepler-81 b   ,5.95489264,0.033302, PPPP
1264,7287995,877.02, Kepler-81 c   ,12.03986967,0.031423, PPPP
1265,7287995,877.03, Kepler-81 d   ,20.83773609,0.018932, PPPP
1266,7303253,878.01, Kepler-711 b  ,23.58914845,0.039805, PPPP
1268,7366258,880.01, Kepler-82 b   ,26.44432103,0.038682, PPPP
1269,7366258,880.02, Kepler-82 c   ,51.53924299,0.054238, PPPP
1270,7366258,880.03, Kepler-82 e   ,5.90225497,0.023935, PPPP
1271,7366258,880.04, Kepler-82 d   ,2.38295821,0.01791, PPPP
1272,7373451,881.01, Kepler-712 b  ,21.02243609,0.037675, PPPP
1273,7373451,881.02, Kepler-712 c  ,226.8902878,0.050133, PPPP
1275,7380537,883.01,               ,2.68889905,0.172594, PPPP
1276,7434875,884.01, Kepler-247 c  ,9.43946259,0.049054, PPPP
1277,7434875,884.02, Kepler-247 d  ,20.47726587,0.033223, PPFP
1278,7434875,884.03, Kepler-247 b  ,3.33612251,0.020448, PPPP
1280,7455287,886.01, Kepler-54 b   ,8.01084154,0.033418, PPPP
1281,7455287,886.02, Kepler-54 c   ,12.07138695,0.02549, PPPP
1282,7455287,886.03, Kepler-54 d   ,20.99581773,0.025524, PPPP
1283,7458762,887.01, Kepler-713 b  ,7.41114885,0.022811, PPPP
1285,757450,889.01, Kepler-75 b   ,8.88492435,0.114168, PPPP
1286,7585481,890.01, Kepler-714 b  ,8.09888885,0.076286, PPPP
1287,7663691,891.01, Kepler-715 b  ,10.00653612,0.027968, PPPP
1288,7678434,892.01, Kepler-716 b  ,10.37171104,0.031677, PPPP
1289,7678434,892.02, Kepler-716 c  ,3.96997517,0.015626, PPPP
1290,7685981,893.01, Kepler-717 b  ,4.40842216,0.021534, PPPP
1293,7825899,896.01, Kepler-248 c  ,16.239483,0.045379, PPPP
1294,7825899,896.02, Kepler-248 b  ,6.30820415,0.032558, PPPP
1295,7825899,896.03,               ,28.86686825,0.016257, PPPP
1296,7849854,897.01, Kepler-718 b  ,2.05234992,0.111165, PPPP
1297,7870390,898.01, Kepler-83 b   ,9.77045018,0.040331, PPPP
1298,7870390,898.02, Kepler-83 d   ,5.16980121,0.029865, PPPP
1299,7870390,898.03, Kepler-83 c   ,20.09010164,0.034674, PPPP
1300,7907423,899.01, Kepler-249 c  ,7.11375661,0.025722, PPPP
1301,7907423,899.02, Kepler-249 b  ,3.30654654,0.020415, PPPP
1302,7907423,899.03, Kepler-249 d  ,15.36845633,0.024926, PPPP
1303,7938496,900.01, Kepler-1730 b ,13.81019891,0.033096, PPPP
1304,8013419,901.01,               ,12.73262583,0.082491, PPPP
1305,8018547,902.01,               ,83.92760382,0.085905, PPPP
1306,8039892,903.01, Kepler-719 b  ,5.00731642,0.076297, PPPP
1307,8150320,904.01, Kepler-55 d   ,2.21112226,0.023991, PPPP
1308,8150320,904.02, Kepler-55 b   ,27.95473903,0.027379, PPPP
1309,8150320,904.03, Kepler-55 c   ,42.14014148,0.02671, PPPP
1310,8150320,904.04, Kepler-55 e   ,4.61748122,0.021412, PPPP
1311,8150320,904.05, Kepler-55 f   ,10.19848207,0.022563, PPPP
1313,8226994,906.01, Kepler-250 c  ,7.15680955,0.026363, PPPP
1314,8226994,906.02, Kepler-250 d  ,17.64825801,0.02492, PPPP
1315,8226994,906.03, Kepler-250 b  ,4.14812194,0.011831, PPPP
1316,8247638,907.01, Kepler-251 c  ,16.51409124,0.028384, PPPP
1317,8247638,907.02, Kepler-251 d  ,30.13307325,0.028902, PPPP
1318,8247638,907.03, Kepler-251 b  ,4.79094409,0.014469, PPPP
1319,8247638,907.04, Kepler-251 e  ,99.64120749,0.028272, PPPP
1320,8255887,908.01, Kepler-720 b  ,4.70832678,0.080249, PPPP
1322,8414716,910.01, Kepler-721 b  ,5.39203504,0.030405, PPPP
1323,8490993,911.01, Kepler-722 b  ,4.09357574,0.021365, PPPP
1324,8490993,911.02, Kepler-722 c  ,105.144872,0.023535, PPPP
1325,8505670,912.01, Kepler-252 c  ,10.84844743,0.036336, PPPP
1326,8505670,912.02, Kepler-252 b  ,6.66832136,0.017202, PPPP
1327,8544996,913.01, Kepler-723 b  ,4.08227499,0.121564, PPPP
1328,8552202,914.01,               ,3.88665144,0.022219, PPPP
1330,8628973,916.01, Kepler-724 b  ,3.31494581,0.033929, PPPP
1332,8672910,918.01, Kepler-725 b  ,39.64315633,0.111668, PPPP
1335,8689031,920.01, Kepler-726 b  ,21.80449965,0.030926, PPPP
1336,8689373,921.01, Kepler-253 c  ,10.28195555,0.02996, PPPP
1337,8689373,921.02, Kepler-253 d  ,18.11994245,0.034817, PPPP
1338,8689373,921.03, Kepler-253 b  ,3.78403195,0.018785, PPPP
1339,8826878,922.01, Kepler-727 b  ,5.1544738,0.023913, PPPP
1340,8883593,923.01, Kepler-728 b  ,5.74347398,0.032283, PPPP
1341,8951215,924.01,               ,39.47599348,0.02927, PPPP
1343,9077124,926.01, Kepler-729 b  ,3.16635051,0.035172, PPPP
1345,9140402,928.01,               ,2.49417235,0.027375, PPPP
1346,9141746,929.01, Kepler-730 b  ,6.4916814,0.079884, PPPP
1347,9141746,929.02, Kepler-730 c  ,2.85183816,0.009914, PPPN
1349,9166862,931.01, Kepler-731 b  ,3.85560406,0.119154, PPPP
1352,9334289,934.01, Kepler-254 b  ,5.82665776,0.035537, PPPP
1353,9334289,934.02, Kepler-254 c  ,12.41211141,0.022599, PPPP
1354,9334289,934.03, Kepler-254 d  ,18.74643825,0.0258, PPPP
1355,9347899,935.01, Kepler-31 b   ,20.86019269,0.040185, PPPP
1356,9347899,935.02, Kepler-31 c   ,42.63416415,0.038185, PPPP
1357,9347899,935.03, Kepler-31 d   ,87.64796817,0.029317, PPPP
1358,9347899,935.04,               ,9.61727175,0.014204, PPPP
1359,9388479,936.01, Kepler-732 b  ,9.4678198,0.042798, PPPP
1360,9388479,936.02, Kepler-732 c  ,0.89304225,0.024852, PPPP
1361,9406990,937.01, Kepler-733 b  ,20.83425186,0.028462, PPPP
1362,9415172,938.01, Kepler-255 c  ,9.94601044,0.028431, PPPP
1363,9415172,938.02, Kepler-255 d  ,1.04561691,0.013257, PPPP
1364,9415172,938.03, Kepler-255 b  ,5.7146465,0.015765, PPPP
1365,9466668,939.01, Kepler-256 c  ,3.38802126,0.015268, PPPP
1366,9466668,939.02, Kepler-256 d  ,5.83910412,0.015139, PPPP
1367,9466668,939.03, Kepler-256 b  ,1.62047082,0.011585, PPPP
1368,9466668,939.04, Kepler-256 e  ,10.68168283,0.016068, PPPP
1369,9479273,940.01, Kepler-734 b  ,6.10484886,0.040963, PPPP
1370,9480189,941.01, Kepler-257 c  ,6.58147957,0.04303, PPPP
1371,9480189,941.02, Kepler-257 b  ,2.38265152,0.023867, PPPP
1372,9480189,941.03, Kepler-257 d  ,24.66454632,0.043806, PPPP
1373,9512687,942.01, Kepler-735 b  ,11.51518266,0.03312, PPPP
1374,9513865,943.01, Kepler-736 b  ,3.60147024,0.024922, PPPP
1376,9605514,945.01, Kepler-1666 b ,25.84737065,0.021606, PPPP
1377,9605514,945.02, Kepler-1666 c ,40.71542259,0.024197, PPPP
1378,9605514,945.03,               ,66.78930932,0.01772, PPFP
1380,9710326,947.01, Kepler-737 b  ,28.59916743,0.036644, PPPP
1381,9761882,948.01, Kepler-738 b  ,24.58719844,0.027549, PPPP
1382,9766437,949.01, Kepler-739 b  ,12.53246981,0.031077, PPPP
1383,9772531,950.01,               ,31.20170106,0.171278, PPPP
1384,9775938,951.01, Kepler-258 b  ,13.19720551,0.040885, PPPP
1385,9775938,951.02, Kepler-258 c  ,33.65299932,0.0301, PPPP
1386,9787239,952.01, Kepler-32 b   ,5.90127763,0.035722, PPPP
1387,9787239,952.02, Kepler-32 c   ,8.75207596,0.033972, PPPP
1388,9787239,952.03, Kepler-32 d   ,22.78077231,0.040244, PPPP
1389,9787239,952.04, Kepler-32 e   ,2.89600175,0.022947, PPPP
1390,9787239,952.05, Kepler-32 f   ,0.74295778,0.033913, PPPP
1391,9820483,953.01, Kepler-740 b  ,3.58410154,0.046369, PPPP
1392,9823457,954.01, Kepler-259 b  ,8.11527548,0.026374, PPPP
1393,9823457,954.02, Kepler-259 c  ,36.92496046,0.027555, PPPP
1394,9825625,955.01, Kepler-741 b  ,7.03900865,0.021292, PPPP
1395,9875711,956.01, Kepler-742 b  ,8.36087884,0.039812, PPPP
1397,1026957,958.01, Kepler-1731 b ,21.7613199,0.032134, PPPP
1400,8561063,961.01, Kepler-42 b   ,1.21377045,0.040687, PPPF
1401,8561063,961.02, Kepler-42 c   ,0.45328751,0.045911, PPFN
1402,8561063,961.03, Kepler-42 d   ,1.86511356,0.036563, PPPP
1413,11013201,972.01,               ,13.11895869,0.017857, PPPP
1414,11013201,972.02,               ,7.82192885,0.006065, PPFF
1416,9414417,974.01,               ,53.50558586,0.0129, PPPP
1417,3632418,975.01, Kepler-21 b   ,2.78581539,0.007651, PPPP
1427,1161345,984.01, Kepler-1973 b ,4.28747076,0.02591, PPPP
1429,2854698,986.01, Kepler-260 b  ,8.18738634,0.020509, PPPP
1430,2854698,986.02, Kepler-260 c  ,76.04972469,0.01916, PPPP
1431,7295235,987.01, Kepler-743 b  ,3.17926341,0.012957, PPPP
1432,2302548,988.01, Kepler-261 b  ,10.38120072,0.025424, PPPP
1433,2302548,988.02, Kepler-261 c  ,24.5709546,0.024796, PPPP
1436,10743597,989.03,               ,16.15811122,0.036842, PPNP
1439,10154388,991.01, Kepler-744 b  ,12.06224964,0.015736, PPPP
1440,1432789,992.01, Kepler-745 b  ,9.93151355,0.018289, PPPP
1441,1432789,992.02,               ,4.57833858,0.010846, PPPP
1442,1718189,993.01, Kepler-262 c  ,21.85372099,0.017345, PPPP
1443,1718189,993.02, Kepler-262 b  ,13.0607061,0.0143, PPPP
1444,1718189,993.03,               ,86.72276988,0.014167, PPFP
1445,1431122,994.01,               ,4.29893298,0.013878, PPPP
1450,2165002,999.01, Kepler-263 b  ,16.56807582,0.032736, PPPP
1451,2165002,999.02, Kepler-263 c  ,47.33285645,0.027485, PPPP
1453,1871056,1001.01, Kepler-264 b  ,40.80663439,0.016326, PPPP
1454,1871056,1001.02, Kepler-264 c  ,140.1068294,0.015103, PPPP
1455,1865042,1002.01, Kepler-746 b  ,3.48160925,0.010604, PPPP
1458,5780460,1005.01, Kepler-747 b  ,35.61763502,0.06088, PPPP
1460,1725016,1007.01, Kepler-748 b  ,7.40737375,0.019395, PPPP
1467,8125580,1014.01, Kepler-749 b  ,17.31701993,0.035341, PPPP
1468,8158127,1015.01, Kepler-750 b  ,9.42885228,0.021769, PPPP
1469,8158127,1015.02, Kepler-750 c  ,4.08895768,0.011536, PPPP
1470,8158127,1015.03,               ,16.99740881,0.013848, PPPP
1472,8174625,1017.01, Kepler-751 b  ,17.44490258,0.026119, PPPP
1477,2716853,1022.01, Kepler-752 b  ,18.82748945,0.029107, PPPP
1480,2715135,1024.01, Kepler-753 b  ,5.74771745,0.025547, PPPP
1485,2164169,1029.01, Kepler-1732 b ,32.31229308,0.023656, PPPP
1486,2574338,1030.01, Kepler-1733 b ,9.22958528,0.020505, PPPP
1487,2584163,1031.01, Kepler-754 b  ,14.55999151,0.015667, PPPP
1506,5809890,1050.01, Kepler-755 b  ,1.26909176,0.016532, PPPP
1507,5809890,1050.02, Kepler-755 c  ,2.85313472,0.014918, PPPP
1508,6131236,1051.01, Kepler-1734 b ,6.79688809,0.018295, PPPP
1509,5956342,1052.01, Kepler-265 c  ,17.02904726,0.021974, PPPP
1510,5956342,1052.02, Kepler-265 b  ,6.84619728,0.0146, PPPP
1511,5956342,1052.03, Kepler-265 e  ,67.83179028,0.020799, PPPP
1512,5956342,1052.04, Kepler-265 d  ,43.13122259,0.019773, PPPP
1513,5956656,1053.01, Kepler-756 b  ,1.2248724,0.012727, PPPP
1514,5956656,1053.02,               ,46.24540955,0.02037, PPPP
1520,6060203,1059.01, Kepler-757 b  ,1.02268143,0.010345, PPPP
1521,5880320,1060.01, Kepler-758 b  ,12.10967032,0.015583, PPPP
1522,5880320,1060.02, Kepler-758 c  ,4.75797889,0.010401, PPPP
1523,5880320,1060.03, Kepler-758 d  ,20.4963261,0.014543, PPPP
1524,5880320,1060.04, Kepler-758 e  ,8.19342614,0.00998, PPPP
1525,6037187,1061.01, Kepler-759 b  ,41.80686121,0.01921, PPPP
1530,8260218,1066.01,               ,5.71481681,0.101037, PPPP
1533,8222813,1069.01, Kepler-760 b  ,8.70420747,0.029297, PPPP
1534,8222813,1069.02, Kepler-760 c  ,2.46695727,0.015845, PPPP
1535,8240904,1070.01, Kepler-266 b  ,6.61835226,0.021414, PPPP
1536,8240904,1070.02, Kepler-266 c  ,107.7218881,0.033895, PPPP
1539,8229696,1072.01, Kepler-761 b  ,10.12806599,0.019969, PPPP
1541,10272640,1074.01, Kepler-762 b  ,3.77055111,0.102849, PPPP
1545,10166274,1078.01, Kepler-267 b  ,3.35372858,0.033048, PPPP
1546,10166274,1078.02, Kepler-267 c  ,6.87745515,0.037539, PPPP
1547,10166274,1078.03, Kepler-267 d  ,28.46459622,0.037475, PPPP
1550,10149023,1081.01,               ,9.95646332,0.104056, PPFP
1551,10141900,1082.01,               ,6.50324324,0.018396, PPPP
1552,10141900,1082.02,               ,4.09667991,0.015669, PPPP
1553,10141900,1082.03, Kepler-763 b  ,1.19654725,0.01362, PPPP
1554,10141900,1082.04,               ,9.65506241,0.015891, PPPP
1555,10157458,1083.01, Kepler-764 b  ,7.3368925,0.016647, PPPP
1556,10157458,1083.02,               ,4.57790616,0.010331, PPPN
1558,10118816,1085.01, Kepler-1735 b ,7.7179158,0.016157, PPPP
1559,10122255,1086.01, Kepler-765 b  ,27.66523542,0.020034, PPPP
1562,3247268,1089.01, Kepler-418 b  ,86.67858685,0.082684, PPPP
1563,3247268,1089.02, Kepler-418 c  ,12.2182842,0.039216, PPPP
1568,2721030,1094.01, Kepler-766 b  ,6.10029821,0.025422, PPPP
1569,3329204,1095.01,               ,51.59809792,0.069949, PPPP
1573,2853093,1099.01, Kepler-767 b  ,161.5278153,0.062083, PPPP
1575,3245969,1101.01, Kepler-768 b  ,11.39116273,0.028608, PPPP
1577,3231341,1102.01, Kepler-24 c   ,12.33348408,0.04107, PPPP
1578,3231341,1102.02, Kepler-24 b   ,8.14510034,0.024871, PPPP
1579,3231341,1102.03, Kepler-24 e   ,18.99831911,0.01865, PPPP
1580,3231341,1102.04, Kepler-24 d   ,4.24433553,0.012186, PPPP
1581,2860866,1103.01,               ,90.12802585,0.050743, PPPP
1584,3240158,1106.01, Kepler-769 b  ,7.42605905,0.019351, PPPP
1585,3240158,1106.02, Kepler-769 c  ,15.9867378,0.012389, PPPP
1586,3240158,1106.03,               ,13.23010172,0.010668, PPPP
1588,3218908,1108.01, Kepler-770 b  ,18.92542004,0.022547, PPPP
1589,3218908,1108.02, Kepler-770 c  ,1.47532899,0.011217, PPPP
1590,3218908,1108.03, Kepler-770 d  ,4.15246338,0.013379, PPPP
1593,2837111,1110.01, Kepler-771 b  ,8.73488977,0.015151, PPPP
1594,2837111,1110.02,               ,3.718438,0.007943, PPFP
1596,3109930,1112.01, Kepler-1736 b ,37.81029494,0.022122, PPPP
1597,2854914,1113.01, Kepler-268 b  ,25.93403983,0.018705, PPPP
1598,2854914,1113.02, Kepler-268 c  ,83.44638018,0.020673, PPPP
1600,3116412,1115.01, Kepler-772 b  ,12.99204361,0.015012, PPPP
1601,2849805,1116.01, Kepler-773 b  ,3.74910297,0.012383, PPPP
1602,3114811,1117.01, Kepler-774 b  ,11.08959735,0.011291, PPPP
1603,2853446,1118.01,               ,7.37289179,0.013025, PPPP
1614,6359320,1127.01, Kepler-269 b  ,5.32668251,0.022686, PPPP
1615,6359320,1127.02, Kepler-269 c  ,8.12804153,0.013896, PPPP
1616,6359320,1127.03,               ,2.83669453,0.011869, PPPP
1617,6362874,1128.01, Kepler-775 b  ,0.97486723,0.012796, PPPP
1618,6272413,1129.01, Kepler-776 b  ,4.89722338,0.015142, PPPP
1632,8346392,1141.01, Kepler-777 b  ,5.7281152,0.023129, PPPP
1633,8288947,1142.01, Kepler-778 b  ,3.75572941,0.018482, PPPP
1636,8313667,1145.01,               ,30.5885513,0.01983, PPPP
1637,8351704,1146.01, Kepler-779 b  ,7.09716968,0.017667, PPPP
1639,8410727,1148.01, Kepler-270 b  ,11.47606688,0.012468, PPPP
1640,8410727,1148.02, Kepler-270 c  ,25.26323854,0.010312, PPPP
1642,8278371,1150.01, Kepler-780 b  ,0.67737489,0.007989, PPPP
1643,8280511,1151.01, Kepler-271 b  ,10.43545334,0.013225, PPPP
1644,8280511,1151.02, Kepler-271 c  ,7.41088006,0.010141, PPPP
1645,8280511,1151.03, Kepler-271 d  ,5.24969846,0.00724, PPPP
1646,8280511,1151.04,               ,17.45319318,0.008194, PPPP
1647,8280511,1151.05,               ,21.72027051,0.008678, PPPP
1655,10354039,1159.01, Kepler-1737 b ,64.6175033,0.056214, PPPP
1656,10330115,1160.01, Kepler-781 b  ,13.21402643,0.030932, PPPP
1657,10426656,1161.01, Kepler-272 c  ,6.0573033,0.017773, PPPP
1658,10426656,1161.02, Kepler-272 d  ,10.93721736,0.018679, PPPP
1659,10426656,1161.03, Kepler-272 b  ,2.97138076,0.013864, PPPP
1660,10528068,1162.01, Kepler-782 b  ,158.6856467,0.027382, PPPP
1661,10468940,1163.01, Kepler-273 b  ,2.93652977,0.016961, PPPP
1662,10468940,1163.02, Kepler-273 c  ,8.01499694,0.017221, PPPP
1664,10337517,1165.01, Kepler-783 c  ,7.05394442,0.020411, PPPP
1665,10337517,1165.02, Kepler-783 b  ,4.29263721,0.007181, PPPP
1666,10337517,1165.03,               ,11.14580908,0.008203, PNNN
1667,10351231,1166.01, Kepler-1738 b ,7.67464827,0.020619, PPPP
