KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
8950568,2038.01, Kepler-85 b   ,8.30542284,0.00004434,787.008922,0.004605,0.029901,0.058017,0.013651,0.4893,0.5756,0.489,0.00614,0.07258,0,0.4662,0.2238, t019,158,158,406.4,20.5,4.98182,0.25505,2.482959,0.142678,28.5,21.8,-6.15,4827.2,5200,3.3008,1.1252,0.3215,76.9049,0.8184,7.0926,2.823,5.183,1.382,97.05,5.17,4.74,14.779,2.05969,0.07623,0.09096,5515,64,0.85,0.03,0.02,0.95,0.02,0.02,4.492,0.046,0.046,0.116,0.042,2, PPPP,2.563,5.93,1.046,103.07,7.67,7.67,1.93829,0.1309,0.15871,5505,5505,0.87,0.02,0.02,0.93,0.04,0.04,4.521,0.02,0.03,0.018,0.113
8950568,2038.02, Kepler-85 c   ,12.51345816,0.00008259,785.693624,0.004311,0.01894,0.001198,0.000705,0.5963,0.1251,0.5026,1.32529,0.25463,0.76388,0.4662,0.2238, t019,110,110,434.7,17.8,4.279717,0.188364,4.164716,0.159837,30,19.9,-4.43,3846.3,4131,22.3078,1.6742,5.2087,89.6852,0.3148,1.8258,1.771,0.139,0.089,56.43,2.77,3,14.779,2.05969,0.07623,0.09096,5515,64,0.85,0.03,0.02,0.95,0.02,0.02,4.492,0.046,0.046,0.116,0.042,2, PPPP,1.811,0.134,0.08,59.44,4.54,4.54,1.93829,0.1309,0.15871,5505,5505,0.87,0.02,0.02,0.93,0.04,0.04,4.521,0.02,0.03,0.018,0.113
8950568,2038.03, Kepler-85 d   ,17.91327996,0.00023814,785.067044,0.010086,0.012781,0.001133,0.000784,0.8319,0.0019,0.6639,1.79045,0.48602,1.10459,0.4662,0.2238, t0-7,74,74,199.8,20.4,4.3892,0.265828,4.137366,0.254669,11.4,8.3,-2.61,2759.4,2823,31.5567,3.1615,7.7282,89.7672,0.2328,1.3965,1.196,0.116,0.087,34.84,1.82,1.82,14.779,2.05969,0.07623,0.09096,5515,64,0.85,0.03,0.02,0.95,0.02,0.02,4.492,0.046,0.046,0.116,0.042,2, PPPN,1.223,0.117,0.088,36.85,2.98,2.71,1.93829,0.1309,0.15871,5505,5505,0.87,0.02,0.02,0.93,0.04,0.04,4.521,0.02,0.03,0.018,0.113
8950568,2038.04, Kepler-85 e   ,25.21486084,0.00045965,791.731535,0.017409,0.013202,0.001303,0.001303,0.599,0.1001,0.5694,0.14715,2.81825,0.11743,0.4662,0.2238, t0-6,53,53,208.5,25.8,4.271282,0.593654,4.003076,0.560729,9.9,8.7,-2.53,2624.6,2682,43.8158,7.6571,14.6761,89.7739,0.226,1.0736,1.225,0.141,0.118,22.13,1.09,1.19,14.779,2.05969,0.07623,0.09096,5515,64,0.85,0.03,0.02,0.95,0.02,0.02,4.492,0.046,0.046,0.116,0.042,2, PPPP,1.253,0.14,0.129,23.26,1.94,1.64,1.93829,0.1309,0.15871,5505,5505,0.87,0.02,0.02,0.93,0.04,0.04,4.521,0.02,0.03,0.018,0.113
