,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios
110,285.02,26.72313369,285.03,49.35688702,1.8469722747549522
111,289.01,26.62941009,289.02,296.6375782,11.139472380253542
112,291.02,8.1300038,291.01,31.51780857,3.8767274094017026
113,295.01,5.3174374,295.02,10.10572664,1.9004881261037507
114,298.01,19.96364352,298.02,57.38357205,2.874403762645427
115,301.01,6.00256688,301.02,11.44866713,1.907295222006756
116,307.02,5.21104163,307.01,19.67419469,3.7754821563380982
117,312.01,11.57885861,312.02,16.39921712,1.416306880700394
118,313.02,8.43639978,313.01,18.73577847,2.220826295408205
119,314.03,10.31305565,314.01,13.78108283,1.336275425799724
120,314.01,13.78108283,314.02,23.08898942,1.675411845703274
121,316.03,7.30570359,316.01,15.77108417,2.1587358391582376
122,316.01,15.77108417,316.02,157.0658105,9.959100389481975
123,317.02,11.50579417,317.01,22.20808905,1.9301656819052937
124,321.01,2.42630019,321.02,4.62337581,1.905525057886592
125,327.01,3.25427246,327.02,91.35188903,28.07137083721625
126,330.02,1.88897538,330.01,7.97421419,4.221449508780786
127,331.02,10.52291674,331.01,18.68404848,1.775557950485124
128,332.01,5.45849297,332.02,6.8667407,1.2579920387806234
129,337.01,19.78309128,337.02,154.6024571,7.8148786209310765
130,338.02,3.10763774,338.01,7.01063298,2.255936362775669
131,339.01,1.98035832,339.02,12.83440399,6.480849379823344
132,339.02,12.83440399,339.03,35.86596567,2.794517431268735
133,341.02,4.69966135,341.01,7.17072605,1.5257963321123125
134,343.02,2.0241437,343.01,4.76170798,2.352455500071462
135,343.01,4.76170798,343.03,41.80844303,8.780135868390653
136,351.06,7.00823625,351.05,8.71984892,1.2442287344408516
137,351.05,8.71984892,351.08,14.44913641,1.6570397655467635
138,351.08,14.44913641,351.03,59.73725869,4.134313428493683
139,351.03,59.73725869,351.04,91.9400901,1.5390744757323582
140,351.04,91.9400901,351.07,124.9218471,1.3587309623487087
141,351.07,124.9218471,351.02,210.7307044,1.6869003244189145
142,351.02,210.7307044,351.01,331.5973066,1.573559522539137
143,352.02,16.00747316,352.01,27.08242695,1.6918614624120973
144,353.03,11.1619678,353.02,30.65267777,2.7461714922703866
145,353.02,30.65267777,353.01,152.1058259,4.9622361557223265
146,354.02,7.37862208,354.01,15.95998603,2.1630035875207745
147,354.01,15.95998603,354.03,27.13806099,1.70038124964449
148,369.01,5.88526436,369.02,10.10460573,1.7169331931250749
149,370.02,22.95057247,370.01,42.88250005,1.8684719131104095
150,377.03,1.59296118,377.01,19.24631307,12.082097989355898
151,377.01,19.24631307,377.02,38.95896893,2.0242302402701173
152,386.01,31.15883743,386.02,76.73245506,2.462622529880442
153,392.02,12.61088307,392.01,33.4157588,2.649755660608151
154,398.03,1.72937069,398.02,4.18004467,2.4170900398456503
155,398.02,4.18004467,398.01,51.84690672,12.403433650387282
156,401.01,29.19898262,401.03,55.32888438,1.8948908289051887
157,401.03,55.32888438,401.02,160.0193541,2.8921485747116016
158,408.04,3.42804548,408.01,7.38198936,2.15341056676996
