KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
9006186,2169.01, Kepler-1130 b ,5.45297445,0.00001623,786.944064,0.003082,0.008401,0.00056,0.000297,0.879,0.0015,0.6573,4.73152,0.81462,2.44386,0.4727,0.2209, t0-6,246,246,86.1,4.8,2.121406,0.083744,2.079687,0.083688,21,23.1,-4.39,4731.5,4920,19.5465,1.3332,3.8516,89.681,0.3188,1.9128,0.798,0.054,0.042,159.85,8.77,8.77,12.404,2.03072,0.07519,0.07493,5398,64,0.86,0.02,0.02,0.95,0.02,0.03,4.495,0.05,0.05,0.17,0.042,2, PPPP,0.808,0.052,0.04,155.43,13.32,11.27,1.89137,0.1486,0.1772,5288,5288,0.88,0.02,0.02,0.91,0.04,0.05,4.51,0.028,0.037,0.152,0.125
9006186,2169.02, Kepler-1130 c ,3.26662197,0.00000966,787.744766,0.003746,0.007051,0.000578,0.000361,0.623,0.0593,0.5846,2.62441,0.9493,1.54261,0.4727,0.2209, t0--,390,390,58.9,3.8,2.05111,0.123331,2.071191,0.121451,18.6,18,-4.3,7751.4,7930,11.7445,1.2008,2.8382,89.3407,0.6593,3.56,0.664,0.06,0.039,316.41,17.72,16.24,12.404,2.03072,0.07519,0.07493,5398,64,0.86,0.02,0.02,0.95,0.02,0.03,4.495,0.05,0.05,0.17,0.042,2, PPPP,0.673,0.057,0.038,310.74,23.12,25.22,1.89137,0.1486,0.1772,5288,5288,0.88,0.02,0.02,0.91,0.04,0.05,4.51,0.028,0.037,0.152,0.125
9006186,2169.03, Kepler-1130 d ,4.27223792,0.00001855,788.231174,0.004643,0.006387,0.000434,0.000395,0.7435,0.0002,0.6065,3.16903,1.0114,1.78941,0.4727,0.2209, t0--,317,317,48.7,4.2,2.117603,0.133025,2.11392,0.132313,13.7,13.7,-7.86,5912.3,6195,14.6279,1.9102,2.7061,89.4041,0.5959,2.3836,0.603,0.045,0.04,220.8,12.34,11.39,12.404,2.03072,0.07519,0.07493,5398,64,0.86,0.02,0.02,0.95,0.02,0.03,4.495,0.05,0.05,0.17,0.042,2, PPPP,0.609,0.047,0.035,216.19,17.29,17.29,1.89137,0.1486,0.1772,5288,5288,0.88,0.02,0.02,0.91,0.04,0.05,4.51,0.028,0.037,0.152,0.125
9006186,2169.04,               ,2.19251404,0.00001329,788.765143,0.01097,0.003837,0.000533,0.000391,0.616,0.056,0.5666,1.48877,2.35615,1.17808,0.4727,0.2209, t0--,591,584,17.5,3.5,1.749866,0.363225,1.73841,0.363292,6.6,8.2,-10.99,10389,10657,7.9291,2.3502,2.3502,89.2393,0.7606,4.9437,0.367,0.047,0.044,538.05,28.38,28.38,12.404,2.03072,0.07519,0.07493,5398,64,0.86,0.02,0.02,0.95,0.02,0.03,4.495,0.05,0.05,0.17,0.042,2, SPPP,0.37,0.047,0.043,523.75,44.88,37.98,1.89137,0.1486,0.1772,5288,5288,0.88,0.02,0.02,0.91,0.04,0.05,4.51,0.028,0.037,0.152,0.125
