KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
8394721,152.01, Kepler-79 d   ,52.0908098,0.00014023,768.924965,0.00072,0.049396,0.000224,0.000155,0.0653,0.1445,0.056,0.78335,0.01288,0.04637,0.3269,0.3001, t118,26,26,2897.4,13.7,8.645279,0.026509,8.227154,0.020243,243.5,143.4,-1,1785,2048.4,48.2577,0.2343,1.0542,89.9565,0.0372,0.2111,7.102,0.227,0.208,30.04,1.44,1.44,13.914,0.8272,0.03132,0.07105,6388,64,1.32,0.04,0.04,1.24,0.03,0.04,4.305,0.062,0.062,0.057,0.042,2, PPPP,7.159,0.216,0.198,32.2,2.85,2.59,0.77412,0.06233,0.06578,6525,6525,1.33,0.04,0.04,1.29,0.04,0.05,4.304,0.023,0.031,0.038,0.132
8394721,152.02, Kepler-79 c   ,27.40222239,0.00009883,779.088265,0.001548,0.025174,0.000374,0.00028,0.0221,0.3765,0.0001,0.76294,0.03516,0.15236,0.3269,0.3001, t119,52,52,746.7,10.7,6.862182,0.055368,6.672662,0.044573,79.2,49.8,-0.5,2772,2906.8,31.1912,0.4327,2.3796,89.9202,0.0597,0.6969,3.64,0.126,0.126,70.69,3.37,3.37,13.914,0.8272,0.03132,0.07105,6388,64,1.32,0.04,0.04,1.24,0.03,0.04,4.305,0.062,0.062,0.057,0.042,2, PPPP,3.655,0.127,0.115,76.06,6.14,6.7,0.77412,0.06233,0.06578,6525,6525,1.33,0.04,0.04,1.29,0.04,0.05,4.304,0.023,0.031,0.038,0.132
8394721,152.03, Kepler-79 b   ,13.48455808,0.00002649,784.300427,0.001395,0.023543,0.000403,0.000282,0.0105,0.3979,0.0019,0.94318,0.05316,0.21266,0.3269,0.3001, t119,94,94,656.3,9.7,5.041856,0.047724,4.904464,0.036593,80.8,58.8,-0.76,4143,4262.2,20.7727,0.5088,1.73,89.7861,0.2138,1.0261,3.399,0.133,0.121,181.51,9.92,7.79,13.914,0.8272,0.03132,0.07105,6388,64,1.32,0.04,0.04,1.24,0.03,0.04,4.305,0.062,0.062,0.057,0.042,2, PPPP,3.42,0.136,0.111,195.89,15.69,17,0.77412,0.06233,0.06578,6525,6525,1.33,0.04,0.04,1.29,0.04,0.05,4.304,0.023,0.031,0.038,0.132
8394721,152.04, Kepler-79 e   ,81.0636284,0.00079796,721.047911,0.004646,0.02014,0.001144,0.000817,0.5842,0.0524,0.556,25.61367,4.16336,14.15542,0.3269,0.3001, t116,16,16,468.4,28.6,2.983183,0.148867,2.907027,0.13027,19.4,12.8,-0.74,492,531.6,206.3313,15.7659,43.794,89.9624,0.0375,0.1877,2.908,0.21,0.15,16.61,0.83,0.76,13.914,0.8272,0.03132,0.07105,6388,64,1.32,0.04,0.04,1.24,0.03,0.04,4.305,0.062,0.062,0.057,0.042,2, PPPP,2.937,0.189,0.158,17.98,1.35,1.6,0.77412,0.06233,0.06578,6525,6525,1.33,0.04,0.04,1.29,0.04,0.05,4.304,0.023,0.031,0.038,0.132
