KOI_inner,Period_inner,KOI_middle,Period_middle,KOI_outer,Period_outer,Ratio_IM,Nearest Resonance_IM,Ratio_MO,Nearest Resonance_MO,3body,Period_ttv_IM,Period_ttv_MO
82.02,10.31172605,82.01,16.14567465,82.06,22.4100071,1.5657586878968723,3:2,1.3879882746181809,7:5,,122.76457428196292,-373.13552196122953
82.04,7.07134469,82.02,10.31172605,82.01,16.14567465,1.458241183544965,3:2,1.5657586878968723,3:2,,-123.46765216757788,122.76457428196292
1151.01,10.43545334,1151.04,17.45319318,1151.05,21.72027051,1.6724901747296776,5:3,1.244486913425661,5:4,0.002704562045177994,999.0079857452932,-984.9414759374044
1151.02,7.41088006,1151.01,10.43545334,1151.04,17.45319318,1.4081260599972525,7:5,1.6724901747296776,5:3,0.018174074642813176,256.83919005098306,999.0079857452932
1151.03,5.24969846,1151.02,7.41088006,1151.01,10.43545334,1.4116772832700948,7:5,1.4081260599972525,7:5,0.025038404860223018,126.92815423907837,256.83919005098306
