KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
9471268,1835.01, Kepler-326 c  ,4.58034978,0.00000766,790.770028,0.001455,0.015775,0.000948,0.000379,0.384,0.2732,0.32,4.14285,0.4432,2.06826,0.5454,0.1693, t0-5,296,296,307.7,7.6,2.103203,0.045165,2.079878,0.040492,49.8,36,-3.47,5476.4,5823,16.6706,0.6461,3.446,89.6404,0.2872,2.3691,1.896,0.146,0.088,278.43,16.16,13.67,13.693,1.13567,0.06387,0.05879,5178,64,1.09,0.04,0.04,0.91,0.01,0.01,4.546,0.031,0.031,0.193,0.042,2, PPPP,1.883,0.13,0.086,272.53,14.52,13.31,0.96973,0.08406,0.07699,5142,5142,1.08,0.03,0.03,0.88,0.02,0.01,4.311,0.025,0.024,0.355,0.086
9471268,1835.02, Kepler-326 b  ,2.24828597,0.00000306,792.622981,0.001012,0.014587,0.001051,0.00032,0.9077,0.0014,0.6505,2.34589,0.19082,1.28121,0.5454,0.1693, t0-5,600,599,263.4,5.6,2.03176,0.038225,1.981985,0.033817,59.5,44.2,-6.03,9423.7,10131,8.5141,0.3308,1.9294,89.2848,0.7147,5.146,1.749,0.151,0.085,717.05,42.27,36.23,13.693,1.13567,0.06387,0.05879,5178,64,1.09,0.04,0.04,0.91,0.01,0.01,4.546,0.031,0.031,0.193,0.042,2, PPPP,1.735,0.14,0.074,701.74,41.25,31.73,0.96973,0.08406,0.07699,5142,5142,1.08,0.03,0.03,0.88,0.02,0.01,4.311,0.025,0.024,0.355,0.086
9471268,1835.03, Kepler-326 d  ,6.76690755,0.00001485,793.675777,0.001913,0.014249,0.000911,0.000405,0.6477,0.0011,0.583,11.72594,1.68833,5.90917,0.5454,0.1693, t0-6,200,199,247.9,10.5,1.678566,0.059005,1.650798,0.058067,29.7,22.3,-3.77,2953.6,3187,30.4942,1.8285,5.9428,89.6962,0.3037,1.1281,1.709,0.128,0.082,166.34,8.96,8.96,13.693,1.13567,0.06387,0.05879,5178,64,1.09,0.04,0.04,0.91,0.01,0.01,4.546,0.031,0.031,0.193,0.042,2, PPPP,1.699,0.11,0.085,160.96,9.62,6.87,0.96973,0.08406,0.07699,5142,5142,1.08,0.03,0.03,0.88,0.02,0.01,4.311,0.025,0.024,0.355,0.086
