KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
7603200,314.01, Kepler-138 c  ,13.78108283,0.0000107,786.126373,0.000613,0.025149,0.000887,0.000259,0.5455,0.1463,0.3954,10.19473,0.65605,4.3112,0.3067,0.3881, t119,99,99,756.5,8.4,2.29506,0.03224,2.231485,0.018457,112.8,112.7,-0.63,2137,2264.9,46.7923,1.079,7.9847,89.8581,0.1241,0.7092,1.48,0.072,0.043,7.71,0.52,0.57,12.925,4.8643,0.26885,0.25047,3975,63,0.54,0.01,0.01,0.53,0.01,0.01,4.707,0.012,0.012,-0.13,0.122,1, PPPP,1.488,0.064,0.051,7.65,0.57,0.49,4.8643,0.26885,0.25047,3975,3975,0.54,0.01,0.01,0.53,0.01,0.01,4.707,0.012,0.012,-0.13,0.122
7603200,314.02, Kepler-138 d  ,23.08898942,0.00007261,773.589205,0.000883,0.022524,0.000679,0.000408,0.3197,0.2202,0.3022,40.67658,4.17271,15.76358,0.3067,0.3881, t119,56,56,601.3,12.5,1.704975,0.036535,1.663867,0.02809,57.4,59.5,-5,929,1221.7,104.776,3.6851,15.969,89.9231,0.0768,0.2689,1.321,0.062,0.047,3.82,0.31,0.22,12.925,4.8643,0.26885,0.25047,3975,63,0.54,0.01,0.01,0.53,0.01,0.01,4.707,0.012,0.012,-0.13,0.122,1, PPPP,1.32,0.063,0.045,3.86,0.27,0.27,4.8643,0.26885,0.25047,3975,3975,0.54,0.01,0.01,0.53,0.01,0.01,4.707,0.012,0.012,-0.13,0.122
7603200,314.03, Kepler-138 b  ,10.31305565,0.00004965,788.432719,0.002507,0.01087,0.000551,0.000459,0.0615,0.5463,0.0425,10.04034,2.01269,5.03173,0.3067,0.3881, t1-9,127,127,139.9,7.5,2.037857,0.079404,1.972617,0.077715,22,14.3,-5.3,2348,2556.9,38.3918,2.8976,7.405,89.8436,0.1563,1.0162,0.632,0.043,0.03,11.27,0.86,0.72,12.925,4.8643,0.26885,0.25047,3975,63,0.54,0.01,0.01,0.53,0.01,0.01,4.707,0.012,0.012,-0.13,0.122,1, PPPP,0.632,0.043,0.028,11.28,0.84,0.77,4.8643,0.26885,0.25047,3975,3975,0.54,0.01,0.01,0.53,0.01,0.01,4.707,0.012,0.012,-0.13,0.122
