KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
11442793,351.01, Kepler-90 h   ,331.5973066,0.00026286,736.69367,0.000633,0.083155,0.000303,0.000161,0.077,0.095,0.0698,1.18312,0.01206,0.05067,0.3696,0.2843, t1-3,3,3,8320.4,27.5,14.417567,0.035261,13.306148,0.022751,355,249.1,-9.1,358,2034.7,190.2086,0.6841,2.5995,89.9827,0.0149,0.0356,10.777,0.304,0.304,1.75,0.09,0.09,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPFF,10.811,0.244,0.266,1.93,0.16,0.15,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.02, Kepler-90 g   ,210.7307044,0.07827952,711.860778,0.000968,0.058857,0.000219,0.000237,0.0023,0.1962,0.0018,1.21596,0.01916,0.06388,0.3696,0.2843, t1-4,6,6,4161.9,20.2,12.001042,0.039014,11.329242,0.028881,232.4,101.8,-138.03,514,6778.2,141.6759,0.8029,2.5425,89.9909,0.0073,0.0728,7.614,0.233,0.194,3.19,0.18,0.16,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPPN,7.631,0.194,0.164,3.54,0.29,0.27,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.03, Kepler-90 d   ,59.73725869,0.00051379,749.068362,0.002938,0.021793,0.000782,0.00037,0.1229,0.4118,0.1058,1.01217,0.07178,0.37941,0.3696,0.2843, t1-7,15,15,567.5,14.2,8.052727,0.114821,7.822274,0.090307,43.5,29.1,0.04,1078,1095.7,57.5084,1.7493,8.1632,89.9236,0.0763,0.5343,2.843,0.133,0.102,17.23,0.89,0.89,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPPN,2.852,0.117,0.099,19.06,1.49,1.49,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.04, Kepler-90 e   ,91.9400901,0.00067794,710.881311,0.005384,0.020168,0.000884,0.000553,0.0247,0.5734,0.0033,1.0162,0.09508,0.45164,0.3696,0.2843, t1-8,12,12,484.5,15.7,9.234555,0.183404,8.998339,0.136239,34.4,24.9,-0.27,923,937.3,76.5518,3.2189,13.4121,89.8698,0.1302,0.4277,2.623,0.149,0.114,9.66,0.53,0.48,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPPN,2.633,0.137,0.105,10.62,0.95,0.73,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.05, Kepler-90 c   ,8.71984892,0.00005572,787.545655,0.00288,0.011681,0.000587,0.000391,0.3427,0.2469,0.3245,1.41766,0.16339,0.63541,0.3696,0.2843, t1-7,113,113,158.9,8,3.733676,0.082399,3.667529,0.077725,22.7,14.1,-2.14,3888,3981.1,17.8822,0.8311,3.0871,89.6753,0.3244,2.0111,1.513,0.096,0.067,223.05,12.35,11.4,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPPN,1.517,0.086,0.066,246.29,21.77,18.42,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.06, Kepler-90 b   ,7.00823625,0.00004996,792.520036,0.005559,0.009938,0.000689,0.000446,0.156,0.5389,0.1184,0.90908,0.25655,0.56442,0.3696,0.2843, t1-5,158,156,115.3,7.3,3.853473,0.1979,3.851656,0.197637,19.2,14.8,20.39,0,6062.1,13.4551,1.3772,3.2135,89.4787,0.521,3.3343,1.286,0.106,0.071,299.81,14.84,16.19,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPPN,1.29,0.103,0.068,331.54,26.73,26.73,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.07, Kepler-90 f   ,124.9218471,0.0029945,687.341699,0.022557,0.020285,0.003979,0.000995,0.943,0.0278,0.6291,0.04639,0.80374,0.0287,0.3696,0.2843, t1--,4,4,481.2,24.8,10.451707,0.696237,10.110543,0.480639,24.4,18.2,0.83,529,523.5,91.0673,8.2264,51.0038,89.8626,0.1373,1.2586,2.641,0.516,0.16,6.41,0.34,0.34,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PPPN,2.65,0.516,0.16,7.08,0.62,0.52,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
11442793,351.08, Kepler-90 i   ,14.44913641,0.00015804,787.702599,0.01826,0.008529,0.000915,0.000784,0.8163,0.0328,0.6484,2.38069,3.74551,2.01681,0.3696,0.2843, t1--,74,74,82.4,13.7,2.695606,0.448741,2.699936,0.44868,8.3,0,-4.46,1938,2037.5,37.2722,7.7035,12.4442,89.8195,0.1804,1.203,1.11,0.117,0.117,113.5,6.39,5.32,13.804,0.94954,0.04486,0.05827,6013,66,1.19,0.03,0.03,1.11,0.03,0.03,4.267,0.096,0.096,0.092,0.041,2, PNNN,1.114,0.122,0.113,126.28,10.15,10.15,0.984,0.07205,0.07806,6226,6226,1.19,0.03,0.03,1.18,0.04,0.06,4.359,0.023,0.029,0.043,0.124
