KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
10875245,117.01, Kepler-107 e  ,14.74916437,0.00002731,779.736872,0.001266,0.018863,0.000807,0.000209,0.1732,0.4229,0.1482,0.57136,0.03068,0.25056,0.402,0.2665, t0-8,69,69,431,4.6,6.120165,0.057452,5.986079,0.037229,107.4,66.2,-0.33,3656.7,3684,18.7124,0.4226,3.2962,89.7372,0.2625,1.8812,2.996,0.156,0.101,138.87,7.02,6.43,12.487,0.56932,0.03279,0.01775,5861,64,1.44,0.04,0.03,1.22,0.02,0.02,4.12,0.11,0.11,0.302,0.042,2, PPPP,2.994,0.143,0.105,146.58,13.19,13.19,0.5798,0.05343,0.05007,5971,5971,1.44,0.03,0.03,1.24,0.05,0.06,4.213,0.031,0.031,0.276,0.139
10875245,117.02, Kepler-107 c  ,4.90143997,0.00001269,787.21704,0.00195,0.010815,0.000623,0.000237,0.5289,0.2923,0.3352,0.57514,0.05163,0.30976,0.402,0.2665, t0-7,219,219,139.9,3.3,4.187973,0.070334,4.094543,0.059628,50.6,33.2,-2.41,5300.5,5551,8.9731,0.3434,2.0605,89.312,0.6879,4.8154,1.712,0.115,0.065,603.85,29.72,29.72,12.487,0.56932,0.03279,0.01775,5861,64,1.44,0.04,0.03,1.22,0.02,0.02,4.12,0.11,0.11,0.302,0.042,2, PPPP,1.71,0.112,0.063,634.32,65.31,50.24,0.5798,0.05343,0.05007,5971,5971,1.44,0.03,0.03,1.24,0.05,0.06,4.213,0.031,0.031,0.276,0.139
10875245,117.03, Kepler-107 b  ,3.18002806,0.00000735,788.365228,0.001981,0.010004,0.000515,0.000196,0.1961,0.4265,0.178,0.58125,0.05951,0.2843,0.402,0.2665, t0-8,342,342,120.7,2.9,3.593108,0.06646,3.552673,0.056947,50.4,35,-3.97,8154.8,8586,6.7559,0.2895,1.3233,89.0039,0.9958,5.6428,1.585,0.093,0.062,1076.87,49.74,54.26,12.487,0.56932,0.03279,0.01775,5861,64,1.44,0.04,0.03,1.22,0.02,0.02,4.12,0.11,0.11,0.302,0.042,2, PPPP,1.582,0.093,0.062,1125.49,114.1,87.77,0.5798,0.05343,0.05007,5971,5971,1.44,0.03,0.03,1.24,0.05,0.06,4.213,0.031,0.031,0.276,0.139
10875245,117.04, Kepler-107 d  ,7.95826316,0.00006633,787.04827,0.008535,0.00652,0.000349,0.000375,0.706,0.0013,0.5917,0.69734,0.16239,0.36906,0.402,0.2665, t0-7,133,133,48.8,4,4.430314,0.24594,4.338423,0.238816,14.7,10.2,-4.01,3638.1,3773,13.3754,1.1186,2.7343,89.5421,0.4577,2.746,1.019,0.072,0.055,316.2,15.38,15.38,12.487,0.56932,0.03279,0.01775,5861,64,1.44,0.04,0.03,1.22,0.02,0.02,4.12,0.11,0.11,0.302,0.042,2, PPPP,1.015,0.072,0.057,334.95,29.18,29.18,0.5798,0.05343,0.05007,5971,5971,1.44,0.03,0.03,1.24,0.05,0.06,4.213,0.031,0.031,0.276,0.139
