,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
595,1574.01,114.7366498,1574.02,191.2388431,1.666763352715568,5:3,5.801162934071513e-05,659312.0906044957
1008,4034.01,6.96702793,4034.02,11.60881837,1.666251159983508,5:3,-0.00024930400989531254,-9312.981668345215
769,2163.01,10.66493632,2163.02,17.78345269,1.6674691865389404,5:3,0.00048151192336409743,7386.505640714098
1013,4136.01,2.4175019,4136.02,4.03352907,1.668469865525235,5:3,0.0010819193151410111,745.6247454967181
876,2693.03,6.83440524,2693.02,11.4194537,1.6708774646789897,5:3,0.0025264788073937616,903.9817525150713
252,582.01,5.9450441,582.03,9.93957896,1.6719100468909895,5:3,0.003146028134593637,631.8811234206503
486,1151.01,10.43545334,1151.04,17.45319318,1.6724901747296776,5:3,0.0034941048378065442,999.0079857452931
449,993.02,13.0607061,993.01,21.85372099,1.673241922961577,5:3,0.003945153776946153,1107.8767635220763
1063,6145.01,19.67274719,6145.02,32.65782278,1.6600540059092783,5:3,-0.003967596454433009,-1646.2270372034081
880,2704.01,4.87122503,2704.03,8.15275543,1.6736560885178404,5:3,0.0041936531107042985,388.8140108293694
875,2693.01,4.08141546,2693.03,6.83440524,1.6745183887748591,5:3,0.0047110332649153985,290.1446394317801
120,314.01,13.78108283,314.02,23.08898942,1.675411845703274,5:3,0.0052471074219644365,880.0654365622207
137,351.05,8.71984892,351.08,14.44913641,1.6570397655467637,5:3,-0.005776140671941876,-500.3041729986938
832,2433.06,6.0632531,2433.02,10.04380879,1.6565049527620743,5:3,-0.006097028342755495,-329.46570773068754
445,972.02,7.82192885,972.01,13.11895869,1.6772025086881224,5:3,0.006321505212873335,415.05806760339584
96,271.02,29.39325463,271.01,48.63035512,1.6544733045780442,5:3,-0.007316017253173546,-1329.4215537533103
244,571.02,13.34299753,571.04,22.40768305,1.67935900457294,5:3,0.007615402743764044,588.4832044726401
1026,4383.02,2.58396862,4383.01,4.34191602,1.680328463121971,5:3,0.008197077873182579,105.93814252283583
312,707.04,13.1755712,707.01,21.77566845,1.6527305055282917,5:3,-0.008361696683025,-520.8432995233271
3,70.02,3.6961217,70.04,6.09854476,1.6499848368088097,5:3,-0.010009097914714271,-121.86002798583063
803,2248.01,2.81814116,2248.05,4.74507981,1.6837622888982609,5:3,0.010257373338956377,92.52036858166619
204,505.04,8.34818212,505.01,13.76710208,1.649113768974652,5:3,-0.010531738615208841,-261.44025375105656
798,2236.02,12.12565284,2236.01,19.98652318,1.6482842980683583,5:3,-0.011029421158985087,-362.42197830514493
193,490.01,4.39316065,490.03,7.40609383,1.685823583528638,5:3,0.0114941501171828,128.86718468951443
229,547.02,7.34671695,547.03,12.38603302,1.685927619683238,5:3,0.01155657180994285,214.3547969709064
