KIC,KOI,Kepler,Period,e_Period,T0,e_T0,Rp/R*,E+Rp/R*,e_Rp/R*,b,E+b,e_b,rho*M,E+rho*M,e_rho*M,u1,u2,TTVflag,nTTobs,nTT,Tdepth,e_Tdepth,TDur,e_TDur,ATDur,e_ATDur,S/N,MES,S/NImp,chi2W,chi2W0,a/R*,E+a/R*,e_a/R*,Inc,E+Inc,e_Inc,Rp,E+Rp,e_Rp,S0,E+S0,e_S0,Kmag,rho*,E+rho*,e_rho*,Teff,e_Teff,R*,E+R*,e_R*,M*,E+M*,e_M*,log(g)*,E+log(g)*,e_log(g)*,Z*,e_Z*,Source,Status,BRp,E+BRp,e_BRp,BS0,E+BS0,e_BS0,Brho*,E+Brho*,e_Brho*,Bteff,e_Bteff,BR*,E+BR*,e_BR*,BM*,E+BM*,e_BM*,Blog(g)*,E+Blog(g)*,e_Blog(g)*,BZ*,e_BZ*
6677841,1236.01, Kepler-279 c  ,35.73391416,0.00058281,763.084631,0.00297,0.025718,0.002304,0.000436,0.8783,0.042,0.5214,0.65829,0.05074,0.48567,0.3051,0.3059, t119,38,38,772.2,15.5,7.839578,0.221282,7.599396,0.093283,58.4,23.6,-2.49,2632,3060.8,35.3578,1.1985,12.9439,89.7166,0.2428,1.7402,3.971,0.358,0.17,61.61,6.57,5.48,13.659,0.64056,0.06947,0.0642,6574,143,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16,1, PPFP,3.97,0.352,0.176,61.86,6.73,5.7,0.64056,0.06947,0.0642,6574,6574,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16
6677841,1236.02, Kepler-279 b  ,12.30971149,0.00008536,784.649424,0.003803,0.018495,0.002447,0.000612,0.8471,0.1093,0.4703,0.02061,0.30061,0.0097,0.3051,0.3059, t1-6,110,110,396.4,10.3,6.474981,0.272158,6.288823,0.121489,45.9,26.1,-2.63,6084,6315.4,14.5233,0.8022,6.9908,88.6172,1.3828,5.4055,2.846,0.385,0.154,256.52,25.37,25.37,13.659,0.64056,0.06947,0.0642,6574,143,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16,1, PPFP,2.841,0.395,0.148,254.23,27.85,23.21,0.64056,0.06947,0.0642,6574,6574,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16
6677841,1236.03, Kepler-279 d  ,54.4114068,0.00263663,789.173966,0.004694,0.023266,0.001928,0.000643,0.8974,0.0363,0.5956,0.08468,0.81928,0.03562,0.3051,0.3059, t119,25,25,628.1,19.3,7.811996,0.237048,7.580777,0.146145,37.7,12.8,-2.81,1692,2071,53.8289,2.682,18.3907,89.8629,0.137,1.1507,3.556,0.334,0.167,35.3,3.69,3.38,13.659,0.64056,0.06947,0.0642,6574,143,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16,1, PPNP,3.574,0.321,0.178,35.03,3.89,2.99,0.64056,0.06947,0.0642,6574,6574,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16
6677841,1236.04,               ,98.35919826,0.02492073,741.002518,0.01525,0.019093,0.001902,0.000611,0.9061,0.0361,0.5159,0.00642,0.05195,0.00371,0.3051,0.3059, t1--,12,12,418.4,15.1,22.729416,0.793487,22.069276,0.480921,30.5,9.6,-6.65,2322,2660.6,33.1117,1.5322,13.2789,89.6083,0.3917,1.9584,2.931,0.31,0.147,15.98,1.63,1.49,13.659,0.64056,0.06947,0.0642,6574,143,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16,1, PPPN,2.927,0.306,0.153,15.95,1.69,1.43,0.64056,0.06947,0.0642,6574,6574,1.39,0.04,0.04,1.25,0.05,0.05,4.242,0.033,0.035,-0.198,0.16
