,KIC,KOI,Kepler,Period,Rp
651,11773022,620.02, Kepler-51 d   ,130.1781993,8.797
652,11773022,620.03, Kepler-51 c   ,85.31655302,6.393
654,12068975,623.01, Kepler-197 c  ,10.34974362,1.288
655,12068975,623.02, Kepler-197 d  ,15.67754049,1.27
656,12068975,623.03, Kepler-197 b  ,5.59932438,1.082
657,12068975,623.04, Kepler-197 e  ,25.2104678,0.927
658,3541946,624.01, Kepler-198 b  ,17.79000592,2.623
659,3541946,624.02, Kepler-198 c  ,49.56744103,2.392
660,3541946,624.03, Kepler-198 d  ,1.3118427,1.399
691,6062088,658.01, Kepler-203 b  ,3.16269483,2.324
692,6062088,658.02, Kepler-203 c  ,5.37064519,2.305
693,6062088,658.03, Kepler-203 d  ,11.32962525,1.328
701,6442340,664.01, Kepler-206 c  ,13.13740786,1.573
702,6442340,664.02, Kepler-206 b  ,7.78197031,1.115
703,6442340,664.03, Kepler-206 d  ,23.44304949,0.996
704,6685609,665.01, Kepler-207 d  ,5.86806838,3.503
705,6685609,665.02, Kepler-207 b  ,1.61188863,1.689
706,6685609,665.03, Kepler-207 c  ,3.07156191,1.563
709,7040629,671.01, Kepler-208 b  ,4.22862702,1.522
710,7040629,671.02, Kepler-208 c  ,7.46662904,1.371
711,7040629,671.03, Kepler-208 e  ,16.25955008,1.415
712,7040629,671.04, Kepler-208 d  ,11.13189834,1.217
732,8480285,691.01, Kepler-647 c  ,29.66624281,3.781
733,8480285,691.02, Kepler-647 b  ,16.22548963,1.61
734,8480285,691.03,               ,10.91399951,0.967
742,8962094,700.01, Kepler-215 d  ,30.864343,2.113
743,8962094,700.02, Kepler-215 b  ,9.36057471,1.387
744,8962094,700.03, Kepler-215 c  ,14.66723806,1.27
745,8962094,700.04, Kepler-215 e  ,68.16079424,1.548
746,9002278,701.01, Kepler-62 d   ,18.16405902,2.142
747,9002278,701.02, Kepler-62 b   ,5.71489033,1.446
748,9002278,701.03, Kepler-62 e   ,122.3858876,1.866
749,9002278,701.04, Kepler-62 f   ,267.284615,1.526
750,9002278,701.05, Kepler-62 c   ,12.44179722,0.616
752,9458613,707.01, Kepler-33 d   ,21.77566845,4.558
753,9458613,707.02, Kepler-33 f   ,41.02789654,3.767
754,9458613,707.03, Kepler-33 e   ,31.78484972,3.413
755,9458613,707.04, Kepler-33 c   ,13.1755712,2.72
756,9458613,707.05, Kepler-33 b   ,5.66811063,1.773
760,9590976,710.01, Kepler-217 b  ,5.37492471,2.224
761,9590976,710.02, Kepler-217 c  ,8.58604236,1.802
762,9590976,710.03, Kepler-217 d  ,3.8868617,1.364
763,9597345,711.01, Kepler-218 c  ,44.69965891,2.971
764,9597345,711.02, Kepler-218 b  ,3.61930475,1.483
765,9597345,711.03, Kepler-218 d  ,124.5249337,2.699
770,9884104,718.01, Kepler-219 b  ,4.58546215,2.272
771,9884104,718.02, Kepler-219 c  ,22.71445498,2.788
772,9884104,718.03, Kepler-219 d  ,47.90344231,2.269
773,9950612,719.01, Kepler-220 c  ,9.03418745,1.622
774,9950612,719.02, Kepler-220 d  ,28.12264106,0.93
775,9950612,719.03, Kepler-220 e  ,45.90267989,1.27
776,9950612,719.04, Kepler-220 b  ,4.15982225,0.852
777,9963524,720.01, Kepler-221 c  ,5.69059352,2.834
778,9963524,720.02, Kepler-221 d  ,10.04156732,2.54
779,9963524,720.03, Kepler-221 e  ,18.36972561,2.568
780,9963524,720.04, Kepler-221 b  ,2.79589907,1.5
783,10002866,723.01, Kepler-222 b  ,3.93699397,2.862
784,10002866,723.02, Kepler-222 d  ,28.08191917,3.409
785,10002866,723.03, Kepler-222 c  ,10.08881642,3.559
787,10227020,730.01, Kepler-223 d  ,14.78701236,4.416
788,10227020,730.02, Kepler-223 c  ,9.84821114,3.314
789,10227020,730.03, Kepler-223 e  ,19.72433675,3.807
790,10227020,730.04, Kepler-223 b  ,7.38445597,2.932
791,10265898,732.01, Kepler-656 b  ,1.26025793,2.835
792,10265898,732.02,               ,3.29530461,1.013
793,10265898,732.03,               ,5.25453383,1.088
794,10271806,733.01, Kepler-224 c  ,5.92498617,2.765
795,10271806,733.02, Kepler-224 d  ,11.34934777,2.446
796,10271806,733.03, Kepler-224 b  ,3.13295549,1.435
797,10271806,733.04, Kepler-224 e  ,18.6435031,1.966
808,10601284,749.01, Kepler-226 c  ,5.34956967,2.48
809,10601284,749.02, Kepler-226 b  ,3.94106174,1.629
810,10601284,749.03, Kepler-226 d  ,8.10901972,1.264
811,10662202,750.01, Kepler-662 b  ,21.67695486,2.59
812,10662202,750.02,               ,5.04416027,1.208
813,10662202,750.03,               ,14.51677802,1.331
818,10872983,756.01, Kepler-228 d  ,11.09433544,4.389
819,10872983,756.02, Kepler-228 c  ,4.13444128,2.943
820,10872983,756.03, Kepler-228 b  ,2.56656946,1.67
821,10910878,757.01, Kepler-229 c  ,16.06864266,4.824
822,10910878,757.02, Kepler-229 d  ,41.19712515,3.256
823,10910878,757.03, Kepler-229 b  ,6.25294127,2.24
835,11754553,775.01, Kepler-52 c   ,16.38490222,2.096
836,11754553,775.02, Kepler-52 b   ,7.87742204,2.258
837,11754553,775.03, Kepler-52 d   ,36.44519458,2.082
849,12366084,787.01, Kepler-232 b  ,4.43123472,3.473
850,12366084,787.02, Kepler-232 c  ,11.37935033,3.517
851,12366084,787.03,               ,0.58936958,0.975
864,3832474,806.01, Kepler-30 d   ,143.2070119,8.267
865,3832474,806.02, Kepler-30 c   ,60.32524674,11.528
866,3832474,806.03, Kepler-30 b   ,29.31475445,3.653
870,4139816,812.01, Kepler-235 b  ,3.34021993,2.314
871,4139816,812.02, Kepler-235 d  ,20.06028585,2.198
872,4139816,812.03, Kepler-235 e  ,46.18436051,2.125
873,4139816,812.04, Kepler-235 c  ,7.82502184,1.3
885,5358241,829.01, Kepler-53 b   ,18.64929387,3.199
886,5358241,829.02, Kepler-53 d   ,9.75192499,2.188
887,5358241,829.03, Kepler-53 c   ,38.55762762,3.339
889,5436502,834.01, Kepler-238 e  ,23.65369289,8.914
890,5436502,834.02, Kepler-238 d  ,13.23350423,3.532
891,5436502,834.03, Kepler-238 c  ,6.15560917,2.649
892,5436502,834.04, Kepler-238 b  ,2.09082239,1.7
893,5436502,834.05, Kepler-238 f  ,50.4468756,3.021
899,5792202,841.01, Kepler-27 b   ,15.3352934,4.133
900,5792202,841.02, Kepler-27 c   ,31.33038711,5.834
901,5792202,841.03, Kepler-27 d   ,6.54626957,1.899
902,5792202,841.04,               ,269.3087336,4.692
903,5792202,841.05,               ,499.4680938,3.021
924,6849310,864.01, Kepler-244 b  ,4.31178142,2.91
925,6849310,864.02, Kepler-244 d  ,20.05038278,2.493
926,6849310,864.03, Kepler-244 c  ,9.76734394,2.065
930,6948054,869.01, Kepler-245 b  ,7.49018556,2.61
931,6948054,869.02, Kepler-245 d  ,36.27556467,3.081
932,6948054,869.03, Kepler-245 c  ,17.46091637,2.225
933,6948054,869.04, Kepler-245 e  ,3.21982901,1.728
942,7287995,877.01, Kepler-81 b   ,5.95489264,2.318
943,7287995,877.02, Kepler-81 c   ,12.03986967,2.186
944,7287995,877.03, Kepler-81 d   ,20.83773609,1.312
946,7366258,880.01, Kepler-82 b   ,26.44432103,3.58
947,7366258,880.02, Kepler-82 c   ,51.53924299,5.004
948,7366258,880.03, Kepler-82 e   ,5.90225497,2.197
949,7366258,880.04, Kepler-82 d   ,2.38295821,1.647
953,7434875,884.01, Kepler-247 c  ,9.43946259,4.25
954,7434875,884.02, Kepler-247 d  ,20.47726587,2.882
955,7434875,884.03, Kepler-247 b  ,3.33612251,1.773
956,7455287,886.01, Kepler-54 b   ,8.01084154,1.912
957,7455287,886.02, Kepler-54 c   ,12.07138695,1.463
958,7455287,886.03, Kepler-54 d   ,20.99581773,1.462
966,7825899,896.01, Kepler-248 c  ,16.239483,3.889
967,7825899,896.02, Kepler-248 b  ,6.30820415,2.783
968,7825899,896.03,               ,28.86686825,1.371
970,7870390,898.01, Kepler-83 b   ,9.77045018,2.61
971,7870390,898.02, Kepler-83 d   ,5.16980121,1.905
972,7870390,898.03, Kepler-83 c   ,20.09010164,2.24
973,7907423,899.01, Kepler-249 c  ,7.11375661,1.444
974,7907423,899.02, Kepler-249 b  ,3.30654654,1.145
975,7907423,899.03, Kepler-249 d  ,15.36845633,1.397
980,8150320,904.01, Kepler-55 d   ,2.21112226,1.778
981,8150320,904.02, Kepler-55 b   ,27.95473903,2.007
982,8150320,904.03, Kepler-55 c   ,42.14014148,1.961
983,8150320,904.04, Kepler-55 e   ,4.61748122,1.585
984,8150320,904.05, Kepler-55 f   ,10.19848207,1.652
985,8226994,906.01, Kepler-250 c  ,7.15680955,2.172
986,8226994,906.02, Kepler-250 d  ,17.64825801,2.054
987,8226994,906.03, Kepler-250 b  ,4.14812194,0.969
988,8247638,907.01, Kepler-251 c  ,16.51409124,2.531
989,8247638,907.02, Kepler-251 d  ,30.13307325,2.597
990,8247638,907.03, Kepler-251 b  ,4.79094409,1.279
991,8247638,907.04, Kepler-251 e  ,99.64120749,2.505
1003,8689373,921.01, Kepler-253 c  ,10.28195555,2.636
1004,8689373,921.02, Kepler-253 d  ,18.11994245,3.07
1005,8689373,921.03, Kepler-253 b  ,3.78403195,1.646
1014,9334289,934.01, Kepler-254 b  ,5.82665776,3.519
1015,9334289,934.02, Kepler-254 c  ,12.41211141,2.238
