,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
956,3184.01,7.54760148,3184.02,11.3224987,1.50014527529082,3:2,9.685019387983829e-05,38969.11386688527
788,2195.01,20.0546569,2195.02,30.09016159,1.5004076978250374,3:2,0.0002717985500249043,36902.52895909233
608,1599.02,13.61659692,1599.01,20.40772083,1.4987387046777618,3:2,-0.0008408635481588211,-8089.985140746212
332,730.02,9.84821114,730.01,14.78701236,1.5014922151638597,3:2,0.00099481010923963,4954.718568116904
993,3503.01,21.18558203,3503.02,31.82612256,1.5022538684531956,3:2,0.0015025789687970192,7060.332761407838
1069,6259.01,4.78124431,6259.02,7.18857575,1.5034947565772894,3:2,0.00232983771819284,1028.480180381531
702,1955.04,26.23467287,1955.02,39.45791107,1.5040367099496446,3:2,0.0026911399664295566,4887.3849697173
730,2038.01,8.30542284,2038.02,12.51345816,1.5066611780117387,3:2,0.004440785341158993,939.2826717698042
345,750.03,14.51677802,750.01,21.67695486,1.4932345752022458,3:2,-0.004510283198502885,-1602.0394511809009
399,886.01,8.01084154,886.02,12.07138695,1.5068812545754091,3:2,0.004587503050272668,877.121084368726
411,904.02,27.95473903,904.03,42.14014148,1.5074417770374011,3:2,0.004961184691600673,2831.3224965093254
294,671.02,7.46662904,671.04,11.13189834,1.4908867549686116,3:2,-0.00607549668759233,-610.7538150054515
1066,6182.01,19.24192829,6182.02,28.68382857,1.4906940789768424,3:2,-0.006203947348771832,-1541.1601118589124
833,2433.02,10.04380879,2433.01,15.16213142,1.509599768077624,3:2,0.0063998453850826476,789.7134231472373
423,934.02,12.41211141,934.03,18.74643825,1.5103343525338209,3:2,0.006889568355880504,906.9962626419701
519,1279.02,9.65181407,1279.01,14.37454235,1.4893099106290597,3:2,-0.007126726247293602,-672.330316951105
694,1931.03,6.98795025,1931.02,10.55837881,1.5109407526191247,3:2,0.0072938350794165,482.525251121374
587,1563.01,5.48712478,1563.02,8.29085153,1.510964642214679,3:2,0.00730976147645257,378.0721416928984
97,274.01,15.08970552,274.02,22.80304201,1.511165475017169,3:2,0.007443650011445868,1021.1407026990107
53,168.03,7.10694344,168.01,10.74246051,1.5115443932673256,3:2,0.0076962621782170615,465.26743594246204
198,500.03,3.07215234,500.04,4.64539336,1.512097333037853,3:2,0.008064888691901917,192.0007222031683
915,2871.02,5.3637802,2871.04,7.97882825,1.4875382570672826,3:2,-0.008307828621811675,-320.1329177258221
300,691.03,10.91399951,691.02,16.22548963,1.4866676157657257,3:2,-0.008888256156182939,-608.4991755746171
473,1102.02,8.14510034,1102.01,12.33348408,1.514221257586128,3:2,0.009480838390751867,433.62846096082114
581,1529.02,11.86959954,1529.01,17.97740337,1.514575391479467,3:2,0.009716927652978047,616.7039628172416
648,1831.03,34.20593543,1831.01,51.80987798,1.5146458451933065,3:2,0.009763896795537574,1768.756848654895
272,623.01,10.34974362,623.02,15.67754049,1.5147757341258663,3:2,0.009850489417244201,530.5164655932392
82,248.01,7.20386128,248.02,10.91276664,1.5148496363050454,3:2,0.009899757536696807,367.4422193186089
659,1843.01,4.19450203,1843.02,6.35581289,1.5152723361538103,3:2,0.010181557435873456,208.0825364891649
469,1082.01,6.50324324,1082.04,9.65506241,1.4846534342455258,3:2,-0.010231043836316234,-314.5675248934775
864,2597.01,8.00503248,2597.02,12.1307292,1.515387880100144,3:2,0.010258586733429276,394.1650546096518
929,2977.01,2.78820519,2977.02,4.13828689,1.4842117448321654,3:2,-0.010525503445223072,-131.0558654521535
343,749.01,5.34956967,749.03,8.10901972,1.5158265468482064,3:2,0.01055103123213752,256.1841126107381
916,2871.04,7.97882825,2871.01,12.09997491,1.5165102607641667,3:2,0.011006840509444338,366.4380315622122
440,952.01,5.90127763,952.02,8.75207596,1.4830815475461712,3:2,-0.011278968302552594,-258.6547435081534
842,2458.02,2.93659,2458.01,4.3540979,1.4827054168270002,3:2,-0.011529722115333207,-125.88039435369535
199,500.04,4.64539336,500.01,7.05352865,1.5183921152373627,3:2,0.01226141015824167,191.75414461494807
71,232.04,37.99502171,232.05,56.26000307,1.4807203822492565,3:2,-0.012853078500495663,-1459.0539033853618
388,870.01,5.91227096,870.02,8.98580316,1.5198564512340955,3:2,0.013237634156063605,226.26911158652874
890,2722.03,4.0287519,2722.01,6.12478255,1.520267989200328,3:2,0.01351199280021853,151.09497270456762
516,1278.03,9.22083801,1278.04,13.64007155,1.4792659338779557,3:2,-0.013822710748029543,-328.9290067300878
461,1060.04,8.19342614,1060.01,12.10967032,1.4779739407036383,3:2,-0.0146840395309078,-274.8941641594576
654,1835.01,4.58034978,1835.03,6.76690755,1.4773779023487592,3:2,-0.015081398434160564,-149.56410440631325
504,1236.01,35.73391416,1236.03,54.4114068,1.5226825294416615,3:2,0.015121686294440995,1199.412237950442
726,2034.02,2.37027961,2034.01,3.60931812,1.522739386852339,3:2,0.015159591234892522,79.36269661617494
739,2055.02,4.02583093,2055.04,6.1308059,1.5228672059509465,3:2,0.01524480396729766,134.05236112254985
1045,4772.01,3.38085113,4772.04,5.14993121,1.523264708197903,3:2,0.015509805465268478,110.68119071582122
599,1589.01,8.72588834,1589.02,12.88282392,1.4763911040374371,3:2,-0.015739263975041995,-272.83833899790363
531,1336.01,10.21868514,1336.02,15.57355475,1.5240272634528007,3:2,0.01601817563520047,324.080908768341
795,2220.02,5.0281665,2220.04,7.66463518,1.524339971637773,3:2,0.016226647758515345,157.44955035414486
823,2369.03,7.22748153,2369.01,11.01821433,1.5244887564589873,3:2,0.016325837639324714,224.96475777471443
859,2585.01,5.34182216,2585.03,7.87845619,1.4748630624573242,3:2,-0.016757958361783842,-156.71074045166597
500,1203.01,31.88385912,1203.03,48.64813648,1.5257919782202325,3:2,0.017194652146821587,943.086568711473
133,341.02,4.69966135,341.01,7.17072605,1.5257963321123125,3:2,0.0171975547415415,138.98731840596648
270,620.03,85.31655302,620.02,130.1781993,1.5258258179920077,3:2,0.017217211994671633,2520.3112509405787
482,1127.01,5.32668251,1127.02,8.12804153,1.5259106422695352,3:2,0.0172737615130234,156.84755023530795
893,2722.02,11.2427106,2722.05,16.53398267,1.470640244888986,3:2,-0.019573170074009383,-281.57562294852744
580,1525.01,7.71466918,1525.02,11.80600303,1.5303317296620618,3:2,0.02022115310804118,194.6147344964418
690,1930.04,9.34143183,1930.01,13.72714466,1.4694904282141512,3:2,-0.020339714523899266,-224.96455794845002
794,2220.01,3.28279781,2220.02,5.0281665,1.5316710900328034,3:2,0.021114060021868886,79.3810142750388
836,2433.03,56.41581418,2433.07,86.43086179,1.5320325168796491,3:2,0.021355011253099354,1349.1113126504188
1003,4021.02,4.93212279,4021.01,7.23533253,1.466981427281132,3:2,-0.022012381812578807,-109.56458644660653
964,3340.01,8.95377977,3340.02,13.72823056,1.5332329935115212,3:2,0.022155329007680802,206.5451996558887
819,2352.02,5.6290675,2352.03,8.2562501,1.4667171960542311,3:2,-0.022188535963845957,-124.03176897975229
254,584.03,6.47031853,584.01,9.92671257,1.5341922540558446,3:2,0.02279483603722965,145.16025404156164
699,1952.02,27.66672706,1952.04,42.47268804,1.5351540479613204,3:2,0.02343603197421351,604.0938455612904
767,2158.01,4.5620462,2158.02,6.68238066,1.4647770686758936,3:2,-0.02348195421607091,-94.85838356994748
1023,4288.02,9.08742267,4288.04,13.95134254,1.535236452251428,3:2,0.02349096816761853,197.96746903534657
46,156.01,8.04132617,156.03,11.77613082,1.4644513319125818,3:2,-0.023699112058278793,-165.6339246106375
720,2025.01,17.84848231,2025.02,26.13621077,1.4643379933405665,3:2,-0.023774671106289058,-366.44335552394176
444,961.01,1.21377045,961.03,1.86511356,1.5366279184008804,3:2,0.024418612267253614,25.460272401873215
695,1932.02,14.84449786,1932.01,22.82440704,1.537566797830371,3:2,0.025044531886913912,303.78430366971037
201,500.02,9.52164568,500.06,14.64538173,1.538114546812248,3:2,0.025409697874831938,192.1232567993408
593,1574.03,5.83391524,1574.04,8.97721049,1.5387968663733962,3:2,0.025864577582264126,115.69504613594073
139,351.03,59.73725869,351.04,91.9400901,1.5390744757323582,3:2,0.026049650488238818,1176.4724718220964
1070,6355.01,4.37198346,6355.02,6.72885248,1.5390846149266997,3:2,0.02605640995113312,86.08057790283296
295,671.04,11.13189834,671.03,16.25955008,1.4606268925017871,3:2,-0.02624873833214192,-206.48040138485402
724,2029.03,6.88724533,2029.02,10.05538883,1.460001546075316,3:2,-0.026665635949789435,-125.69721880918179
308,701.05,12.44179722,701.01,18.16405902,1.4599224451915638,3:2,-0.026718369872290815,-226.61136771967574
313,707.01,21.77566845,707.03,31.78484972,1.4596497826453634,3:2,-0.026900144903091117,-393.8621871679655
474,1102.01,12.33348408,1102.03,18.99831911,1.5403854244890711,3:2,0.02692361632604734,235.2125717428236
298,678.02,4.1385355,678.01,6.04046403,1.459565595124169,3:2,-0.026956269917220665,-74.69460782901974
1015,4149.01,9.54710339,4149.02,14.70861407,1.5406363028818104,3:2,0.027090868587873462,180.97874347451938
50,157.03,31.99551734,157.04,46.68586636,1.4591377243222283,3:2,-0.027241517118514524,-571.2587660089147
935,3052.01,10.12973355,3052.02,15.61120657,1.5411270684410057,3:2,0.027418045627336962,189.79235770710758
