,KIC,KOI,Kepler,Period,Rp
182,4545187,223.01, Kepler-121 b  ,3.17741432,2.318
183,4545187,223.02, Kepler-121 c  ,41.0080625,2.185
187,4833421,232.01, Kepler-122 c  ,12.46600663,5.9
188,4833421,232.02, Kepler-122 b  ,5.76616198,2.387
189,4833421,232.03, Kepler-122 d  ,21.58716169,2.298
190,4833421,232.04, Kepler-122 e  ,37.99502171,2.526
191,4833421,232.05, Kepler-122 f  ,56.26000307,2.336
195,7219825,238.01, Kepler-123 b  ,17.23237226,3.026
196,7219825,238.02, Kepler-123 c  ,26.69546815,1.542
197,7219825,238.03,               ,362.9982898,2.139
198,6383785,239.01, Kepler-501 b  ,5.64067335,4.169
199,6383785,239.02, Kepler-501 c  ,3.62277395,1.474
201,11288051,241.01, Kepler-124 c  ,13.82141149,2.048
202,11288051,241.02, Kepler-124 d  ,30.95084894,1.285
203,11288051,241.03, Kepler-124 b  ,3.41044229,0.869
205,4349452,244.01, Kepler-25 c   ,12.72037062,4.726
206,4349452,244.02, Kepler-25 b   ,6.23853482,2.718
207,8478994,245.01, Kepler-37 d   ,39.79220971,1.937
208,8478994,245.02, Kepler-37 c   ,21.30180117,0.732
209,8478994,245.03, Kepler-37 b   ,13.36703858,0.345
210,11295426,246.01, Kepler-68 b   ,5.39875157,2.339
211,11295426,246.02, Kepler-68 c   ,9.60505083,0.931
213,5364071,248.01, Kepler-49 b   ,7.20386128,2.606
214,5364071,248.02, Kepler-49 c   ,10.91276664,2.325
215,5364071,248.03, Kepler-49 d   ,2.5765741,1.811
216,5364071,248.04, Kepler-49 e   ,18.59617273,1.777
218,9757613,250.01, Kepler-26 b   ,12.28301501,3.176
219,9757613,250.02, Kepler-26 c   ,17.25119579,2.741
220,9757613,250.03, Kepler-26 d   ,3.54390988,1.349
221,9757613,250.04, Kepler-26 e   ,46.82770316,2.366
222,10489206,251.01, Kepler-125 b  ,4.16438514,2.635
223,10489206,251.02, Kepler-125 c  ,5.77439788,0.856
225,11752906,253.01,               ,6.38316185,3.163
226,11752906,253.02,               ,20.61828997,1.832
228,7021681,255.01, Kepler-505 b  ,27.52198739,3.075
229,7021681,255.02,               ,13.60318505,0.88
231,8292840,260.01, Kepler-126 b  ,10.4956701,1.459
232,8292840,260.02, Kepler-126 d  ,100.2830677,2.643
233,8292840,260.03, Kepler-126 c  ,21.86964346,1.585
235,11807274,262.01, Kepler-50 b   ,7.81283605,1.746
236,11807274,262.02, Kepler-50 c   ,9.37663202,1.757
238,7375348,266.01, Kepler-508 b  ,25.30908071,1.484
239,7375348,266.02,               ,47.74360551,1.184
242,6528464,270.01, Kepler-449 b  ,12.58225736,1.537
243,6528464,270.02, Kepler-449 c  ,33.6726629,1.846
244,9451706,271.01, Kepler-127 d  ,48.63035512,2.568
245,9451706,271.02, Kepler-127 c  ,29.39325463,2.522
246,9451706,271.03, Kepler-127 b  ,14.43599649,1.447
249,8077137,274.01, Kepler-128 b  ,15.08970552,1.475
250,8077137,274.02, Kepler-128 c  ,22.80304201,1.34
251,10586004,275.01, Kepler-129 b  ,15.7919332,2.335
252,10586004,275.02, Kepler-129 c  ,82.20000077,2.5
254,11401755,277.01, Kepler-36 c   ,16.23193862,3.674
255,11401755,277.02, Kepler-36 b   ,13.84899039,1.52
256,12314973,279.01, Kepler-450 b  ,28.45491114,6.146
257,12314973,279.02, Kepler-450 c  ,15.41313164,2.655
258,12314973,279.03, Kepler-450 d  ,7.51430567,0.975
261,5088536,282.01, Kepler-130 c  ,27.50869526,2.889
262,5088536,282.02, Kepler-130 b  ,8.45738906,1.007
263,5088536,282.03, Kepler-130 d  ,87.51723509,1.333
264,5695396,283.01, Kepler-131 b  ,16.09195471,2.04
265,5695396,283.02, Kepler-131 c  ,25.51746034,0.824
266,5695396,283.03,               ,9.48820239,0.723
267,6021275,284.01, Kepler-132 d  ,18.01013824,1.394
268,6021275,284.02, Kepler-132 c  ,6.41490683,1.15
269,6021275,284.03, Kepler-132 b  ,6.1781812,1.056
270,6021275,284.04, Kepler-132 e  ,110.2872308,1.264
271,6196457,285.01, Kepler-92 b   ,13.74883666,3.652
272,6196457,285.02, Kepler-92 c   ,26.72313369,2.47
273,6196457,285.03, Kepler-92 d   ,49.35688702,2.02
275,10386922,289.01, Kepler-511 c  ,26.62941009,3.8
276,10386922,289.02, Kepler-511 b  ,296.6375782,8.997
277,10933561,291.01, Kepler-133 c  ,31.51780857,3.071
278,10933561,291.02, Kepler-133 b  ,8.1300038,1.977
281,11547513,295.01, Kepler-134 b  ,5.3174374,1.674
282,11547513,295.02, Kepler-134 c  ,10.10572664,1.056
285,12785320,298.01, Kepler-515 b  ,19.96364352,1.31
286,12785320,298.02,               ,57.38357205,1.221
288,3642289,301.01, Kepler-135 b  ,6.00256688,2.031
289,3642289,301.02, Kepler-135 c  ,11.44866713,1.238
295,6289257,307.01, Kepler-520 b  ,19.67419469,2.412
296,6289257,307.02, Kepler-520 c  ,5.21104163,1.71
298,7050989,312.01, Kepler-136 b  ,11.57885861,2.343
299,7050989,312.02, Kepler-136 c  ,16.39921712,2.239
300,7419318,313.01, Kepler-137 c  ,18.73577847,2.005
301,7419318,313.02, Kepler-137 b  ,8.43639978,1.564
302,7603200,314.01, Kepler-138 c  ,13.78108283,1.48
303,7603200,314.02, Kepler-138 d  ,23.08898942,1.321
304,7603200,314.03, Kepler-138 b  ,10.31305565,0.632
306,8008067,316.01, Kepler-139 b  ,15.77108417,2.426
307,8008067,316.02, Kepler-139 c  ,157.0658105,2.452
308,8008067,316.03,               ,7.30570359,1.701
309,8121310,317.01, Kepler-521 b  ,22.20808905,3.543
310,8121310,317.02,               ,11.50579417,1.168
313,8753657,321.01, Kepler-406 b  ,2.42630019,1.45
314,8753657,321.02, Kepler-406 c  ,4.62337581,0.843
316,9881662,327.01, Kepler-140 b  ,3.25427246,1.489
317,9881662,327.02, Kepler-140 c  ,91.35188903,1.706
318,11361646,330.01, Kepler-524 b  ,7.97421419,2.726
319,11361646,330.02, Kepler-524 c  ,1.88897538,1.237
320,10285631,331.01, Kepler-525 b  ,18.68404848,3.889
321,10285631,331.02,               ,10.52291674,2.247
322,10290666,332.01, Kepler-526 b  ,5.45849297,2.421
323,10290666,332.02,               ,6.8667407,1.047
325,10545066,337.01, Kepler-528 b  ,19.78309128,2.274
326,10545066,337.02,               ,154.6024571,1.88
327,10552611,338.01, Kepler-141 c  ,7.01063298,1.381
328,10552611,338.02, Kepler-141 b  ,3.10763774,0.672
329,10587105,339.01, Kepler-529 b  ,1.98035832,6.602
330,10587105,339.02, Kepler-529 c  ,12.83440399,6.626
331,10587105,339.03, Kepler-529 d  ,35.86596567,6.369
332,10878263,341.01, Kepler-414 c  ,7.17072605,2.563
333,10878263,341.02, Kepler-414 b  ,4.69966135,1.641
334,10982872,343.01, Kepler-142 c  ,4.76170798,2.453
335,10982872,343.02, Kepler-142 b  ,2.0241437,1.71
336,10982872,343.03, Kepler-142 d  ,41.80844303,1.528
343,11442793,351.01, Kepler-90 h   ,331.5973066,10.777
344,11442793,351.02, Kepler-90 g   ,210.7307044,7.614
345,11442793,351.03, Kepler-90 d   ,59.73725869,2.843
346,11442793,351.04, Kepler-90 e   ,91.9400901,2.623
347,11442793,351.05, Kepler-90 c   ,8.71984892,1.513
348,11442793,351.06, Kepler-90 b   ,7.00823625,1.286
349,11442793,351.07, Kepler-90 f   ,124.9218471,2.641
350,11442793,351.08, Kepler-90 i   ,14.44913641,1.11
351,11521793,352.01, Kepler-143 c  ,27.08242695,2.732
352,11521793,352.02, Kepler-143 b  ,16.00747316,2.243
353,11566064,353.01,               ,152.1058259,10.659
354,11566064,353.02, Kepler-1717 b ,30.65267777,2.536
355,11566064,353.03,               ,11.1619678,1.719
356,11568987,354.01, Kepler-534 b  ,15.95998603,2.186
357,11568987,354.02, Kepler-534 c  ,7.37862208,1.07
358,11568987,354.03,               ,27.13806099,0.921
366,7175184,369.01, Kepler-144 b  ,5.88526436,1.262
367,7175184,369.02, Kepler-144 c  ,10.10460573,1.273
368,8494142,370.01, Kepler-145 c  ,42.88250005,3.825
369,8494142,370.02, Kepler-145 b  ,22.95057247,2.156
374,3323887,377.01, Kepler-9 b    ,19.24631307,7.853
375,3323887,377.02, Kepler-9 c    ,38.95896893,7.783
376,3323887,377.03, Kepler-9 d    ,1.59296118,1.52
380,3656121,386.01, Kepler-146 b  ,31.15883743,3.185
381,3656121,386.02, Kepler-146 c  ,76.73245506,2.701
384,3942670,392.01, Kepler-147 c  ,33.4157588,2.555
385,3942670,392.02, Kepler-147 b  ,12.61088307,1.481
388,9946525,398.01, Kepler-148 d  ,51.84690672,8.619
389,9946525,398.02, Kepler-148 c  ,4.18004467,3.448
390,9946525,398.03, Kepler-148 b  ,1.72937069,1.819
391,3217264,401.01, Kepler-149 b  ,29.19898262,4.353
392,3217264,401.02, Kepler-149 d  ,160.0193541,3.829
393,3217264,401.03, Kepler-149 c  ,55.32888438,1.757
394,5351250,408.01, Kepler-150 c  ,7.38198936,3.27
395,5351250,408.02, Kepler-150 d  ,12.56091384,2.627
396,5351250,408.03, Kepler-150 e  ,30.82609632,2.334
397,5351250,408.04, Kepler-150 b  ,3.42804548,1.16
398,5351250,408.06,               ,637.2480608,3.593
401,5791986,413.01, Kepler-151 b  ,15.22895588,2.808
402,5791986,413.02, Kepler-151 c  ,24.67475514,2.139
403,6508221,416.01, Kepler-152 b  ,18.20795268,2.961
404,6508221,416.02, Kepler-152 c  ,88.25536892,2.495
405,6508221,416.03,               ,9.74756597,0.77
406,6508221,416.04,               ,31.53403359,0.79
407,6508221,416.05,               ,4.11955211,0.525
411,10189546,427.01,               ,24.61485437,3.432
412,10189546,427.02, Kepler-549 b  ,42.94955401,2.495
413,10189546,427.03, Kepler-549 c  ,117.0424474,2.249
416,10717241,430.01, Kepler-551 b  ,12.37645383,2.568
417,10717241,430.02,               ,9.34045389,0.902
418,10843590,431.01, Kepler-153 b  ,18.87018342,2.405
419,10843590,431.02, Kepler-153 c  ,46.90266828,2.091
421,10937029,433.01, Kepler-553 b  ,4.03046803,4.561
422,10937029,433.02, Kepler-553 c  ,328.240228,11.028
423,11709124,435.01, Kepler-154 d  ,20.5498169,4.198
424,11709124,435.03, Kepler-154 b  ,33.04053863,2.527
425,11709124,435.04, Kepler-154 e  ,3.93278092,1.624
426,11709124,435.05, Kepler-154 c  ,62.30263211,3.092
427,11709124,435.06, Kepler-154 f  ,9.91939956,1.436
428,12302530,438.01, Kepler-155 b  ,5.93119261,1.765
429,12302530,438.02, Kepler-155 c  ,52.66157091,1.8
431,2438264,440.01, Kepler-156 c  ,15.90688861,2.389
432,2438264,440.02, Kepler-156 b  ,4.97345963,2.149
433,3745690,442.01, Kepler-157 c  ,13.54053864,2.314
434,3745690,442.02, Kepler-157 b  ,1.73234167,1.459
435,3745690,442.03, Kepler-157 d  ,7.0257493,1.491
438,4633570,446.01, Kepler-158 b  ,16.70921713,1.826
439,4633570,446.02, Kepler-158 c  ,28.55164348,1.778
440,5640085,448.01, Kepler-159 b  ,10.13960248,2.237
441,5640085,448.02, Kepler-159 c  ,43.58438291,2.74
444,7269974,456.01, Kepler-160 c  ,13.69942891,3.722
445,7269974,456.02, Kepler-160 b  ,4.30940952,1.836
446,7440748,457.01, Kepler-161 b  ,4.92135977,2.049
447,7440748,457.02, Kepler-161 c  ,7.06426469,2.008
449,7977197,459.01, Kepler-162 c  ,19.44636542,3.48
450,7977197,459.02, Kepler-162 b  ,6.91981926,1.498
451,8043638,460.01, Kepler-559 b  ,17.5875312,3.459
452,8043638,460.02,               ,36.04886497,1.062
454,8890783,464.01, Kepler-561 b  ,58.36198569,6.448
455,8890783,464.02, Kepler-561 c  ,5.3501635,2.438
461,10019643,471.01, Kepler-163 c  ,21.34741148,2.246
462,10019643,471.02, Kepler-163 b  ,7.81101259,1.015
465,10460984,474.01, Kepler-164 c  ,10.94578822,2.373
466,10460984,474.02, Kepler-164 d  ,28.98692645,2.235
467,10460984,474.04, Kepler-164 b  ,5.03505983,1.282
468,10577994,475.01, Kepler-165 b  ,8.18090368,1.968
469,10577994,475.02, Kepler-165 c  ,15.31293941,2.147
475,11192998,481.01, Kepler-166 b  ,7.6502455,2.412
476,11192998,481.02, Kepler-166 d  ,1.55400115,1.66
477,11192998,481.03, Kepler-166 c  ,34.25955548,2.522
483,3239945,490.01, Kepler-167 b  ,4.39316065,1.531
484,3239945,490.02, Kepler-167 e  ,1071.232713,9.82
485,3239945,490.03, Kepler-167 c  ,7.40609383,1.481
