,KOI_inner,Period_inner,KOI_outer,Period_outer,Period Ratios,Nearest Period Ratio,delta,Period_ttv
933,3029.02,6.34716885,3029.01,18.9763598,2.989736093124417,3:1,-0.003421302291861106,-1848.8437229630981
196,497.02,4.42535209,497.01,13.19321756,2.981280877020568,3:1,-0.006239707659810634,-704.7989146978935
792,2218.01,5.53535102,2218.02,16.72627945,3.021719740909945,3:1,0.007239913636648332,770.0957170415141
226,542.02,13.81743544,542.01,41.8852866,3.031335791788581,3:1,0.010445263929526938,1336.6595898579965
650,1832.02,12.76218266,1832.03,38.71471336,3.0335495417521314,3:1,0.011183180584043662,1153.956547187144
789,2199.02,3.05294188,2199.01,9.03319745,2.9588501206580453,3:1,-0.013716626447318303,-219.51941523167682
521,1301.01,12.6990945,1301.02,37.51434732,2.954096240483918,3:1,-0.015301253172027351,-817.2391044976853
627,1713.02,2.24048755,1713.01,6.8277963,3.0474600494878894,3:1,0.015820016495962985,143.8640788131151
1033,4500.03,14.75102769,4500.02,44.9847468,3.0496008647923567,3:1,0.016533621597452086,906.934727616531
261,597.01,17.30799489,597.03,52.81512831,3.051487399069829,3:1,0.017162466356609674,1025.7874599252968
369,834.04,2.09082239,834.03,6.15560917,2.9441090737506403,3:1,-0.01863030874978655,-110.13610943816708
194,490.03,7.40609383,490.04,21.80364252,2.94401381085392,3:1,-0.018662063048693334,-389.4468055882427
689,1929.02,3.29277003,1929.01,9.69309435,2.9437507817695976,3:1,-0.018749739410134136,-172.32407231503413
570,1475.01,1.6093192,1475.03,4.72943361,2.9387790874551176,3:1,-0.020406970848294126,-77.25192933922293
629,1750.02,2.53741354,1750.01,7.76842297,3.0615517918297224,3:1,0.020517263943240716,126.20953410244641
744,2073.03,16.85823589,2073.01,49.50026916,2.9362662548435847,3:1,-0.021244581718805167,-776.6728447938581
529,1332.01,19.30578896,1332.03,56.63841999,2.9337531922342115,3:1,-0.02208226925526291,-854.960743017859
787,2195.03,6.84974223,2195.01,20.0546569,2.9277973136224134,3:1,-0.024067562125862252,-277.7549964709539
822,2365.01,35.96836143,2365.02,110.9771584,3.085410454851515,3:1,0.0284701516171717,1299.3392740143142
572,1480.02,7.00449357,1480.01,20.38179524,2.909817110446716,3:1,-0.03006096318442797,-226.00512515134662
247,573.02,2.06190388,573.01,5.99653611,2.9082520131830782,3:1,-0.030582662272307326,-65.35877590388719
734,2045.01,5.47665173,2045.03,16.93512559,3.092240738484935,3:1,0.030746912828311546,183.59702955723793
503,1236.02,12.30971149,1236.01,35.73391416,2.90290427919688,3:1,-0.032365240267706596,-368.02769333632494
354,780.01,2.33743889,780.02,7.24066724,3.0976926374319027,3:1,0.0325642124773009,74.1168160706804
157,401.03,55.32888438,401.02,160.0193541,2.8921485747116016,3:1,-0.035950475096132806,-1483.7018024759777
365,817.02,8.29562934,817.01,23.96790592,2.889220930403817,3:1,-0.036926356532061,-216.3577109590189
324,719.01,9.03418745,719.02,28.12264106,3.112913166308056,3:1,0.037637722102685345,249.0643206592421
197,500.05,0.98678597,500.03,3.07215234,3.1132914668415888,3:1,0.037763822280529435,27.11724391648745
809,2278.02,4.92030924,2278.01,14.17233466,2.8803747831101774,3:1,-0.03987507229660758,-118.47280221069951
344,750.02,5.04416027,750.03,14.51677802,2.877937504551179,3:1,-0.0406874984829404,-118.9290614338345
812,2289.02,20.0984816,2289.01,62.78425554,3.123830784311587,3:1,0.0412769281038623,507.0165378426441
114,298.01,19.96364352,298.02,57.38357205,2.874403762645427,3:1,-0.04186541245152442,-456.8892608462408
710,1992.02,27.32130233,1992.03,85.5160012,3.130011892079524,3:1,0.043337297359841376,657.7552240197581
858,2579.02,3.59647062,2579.03,10.30132666,2.864287727727914,3:1,-0.04523742409069542,-75.90563835927173
667,1871.02,32.3764041,1871.01,92.72976629,2.86411566904059,3:1,-0.04529477698647,-682.4169176481379
339,734.01,24.54368406,734.02,70.27778903,2.863375720539649,3:1,-0.04554142648678372,-514.3872619682862
215,519.01,11.90352219,519.02,34.03512452,2.859248210466015,3:1,-0.04691726317799505,-241.80953316960893
451,999.01,16.56807582,999.02,47.33285645,2.8568710672402027,3:1,-0.04770964425326585,-330.7008271307043
771,2167.01,24.33963322,2167.03,76.53773375,3.1445721904760897,3:1,0.04819073015869657,529.4084117972765
496,1196.02,11.63491432,1196.03,33.19813607,2.8533202013300256,3:1,-0.048893266223324794,-226.33066292035835
213,518.01,13.98179504,518.02,44.00029983,3.14697073616951,3:1,0.04899024538983654,299.3813665004167
930,3004.02,7.03953748,3004.01,20.07119833,2.85120981130141,3:1,-0.04959672956619676,-134.89598007472765
